Checksheet_Record_ID,Batch_ID,Equipment_ID,Form_Rev,Prestart_TS,Line_Clearance,Cleaning_Verified,Calibration_Verified,Filter_Identity_Verified,Addition_Order_Verified,Inprocess_Check_TS,Inprocess_pH,Inprocess_Temp_C,Closeout_TS,Deviation_ID,Reviewer_ID,Comment,Data_Origin
CK-017,SIM-B017,MIX-02,SIM-CK01,2026-07-17T07:55:00+09:00,PASS,PASS,PASS,PASS,PASS,2026-07-17T08:55:00+09:00,10.08,25.26,2026-07-17T11:06:00+09:00,,RV-01,정상 작업 확인,SYNTHETIC
CK-018,SIM-B018,MIX-03,SIM-CK01,2026-07-18T07:55:00+09:00,PASS,PASS,PASS,PASS,PASS,2026-07-18T08:55:00+09:00,9.87,24,2026-07-18T11:09:00+09:00,,RV-01,정상 작업 확인,SYNTHETIC
CK-019,SIM-B019,MIX-01,SIM-CK01,2026-07-19T07:55:00+09:00,PASS,PASS,PASS,PASS,PASS,2026-07-19T08:55:00+09:00,9.89,23.73,2026-07-19T11:12:00+09:00,,RV-01,정상 작업 확인,SYNTHETIC
CK-020,SIM-B020,MIX-02,SIM-CK01,2026-07-20T07:55:00+09:00,PASS,PASS,PASS,PASS,PASS,2026-07-20T08:55:00+09:00,9.95,24.88,2026-07-20T11:01:00+09:00,,RV-01,정상 작업 확인,SYNTHETIC
CK-021,SIM-B021,MIX-03,SIM-CK01,2026-07-21T07:55:00+09:00,PASS,PASS,PASS,PASS,PASS,2026-07-21T08:55:00+09:00,9.99,24.47,2026-07-21T11:04:00+09:00,,RV-01,정상 작업 확인,SYNTHETIC
CK-022,SIM-B022,MIX-01,SIM-CK01,2026-07-22T07:55:00+09:00,PASS,PASS,PASS,PASS,PASS,2026-07-22T08:55:00+09:00,9.83,24.87,2026-07-22T11:07:00+09:00,,RV-01,정상 작업 확인,SYNTHETIC
CK-023,SIM-B023,MIX-02,SIM-CK01,2026-07-23T07:55:00+09:00,PASS,PASS,PASS,PASS,PASS,2026-07-23T08:55:00+09:00,9.94,24.72,2026-07-23T11:10:00+09:00,,RV-01,정상 작업 확인,SYNTHETIC
CK-024,SIM-B024,MIX-03,SIM-CK01,2026-07-24T07:55:00+09:00,PASS,PASS,PASS,PASS,PASS,2026-07-24T08:55:00+09:00,9.94,24.72,2026-07-24T11:09:00+09:00,,RV-01,정상 작업 확인,SYNTHETIC
CK-025,SIM-B025,MIX-01,SIM-CK01,2026-07-25T07:55:00+09:00,PASS,PASS,PASS,PASS,PASS,2026-07-25T08:55:00+09:00,10.08,24.06,2026-07-25T11:02:00+09:00,,RV-01,정상 작업 확인,SYNTHETIC
CK-026,SIM-B026,MIX-02,SIM-CK01,2026-07-26T07:55:00+09:00,PASS,PASS,PASS,PASS,PASS,2026-07-26T08:55:00+09:00,10.02,24.28,2026-07-26T11:05:00+09:00,,RV-01,정상 작업 확인,SYNTHETIC
CK-027,SIM-B027,MIX-03,SIM-CK01,2026-07-27T07:55:00+09:00,PASS,PASS,PASS,PASS,PASS,2026-07-27T08:55:00+09:00,9.94,24.22,2026-07-27T11:08:00+09:00,,RV-01,정상 작업 확인,SYNTHETIC
CK-028,SIM-B028,MIX-01,SIM-CK01,2026-07-28T07:55:00+09:00,PASS,PASS,PASS,PASS,PASS,2026-07-28T08:55:00+09:00,9.86,24.67,2026-07-28T11:07:00+09:00,,RV-01,정상 작업 확인,SYNTHETIC
CK-029,SIM-B029,MIX-02,SIM-CK01,2026-07-29T07:55:00+09:00,PASS,PASS,PASS,PASS,PASS,2026-07-29T08:55:00+09:00,9.98,23.44,2026-07-29T11:10:00+09:00,,RV-01,정상 작업 확인,SYNTHETIC
CK-030,SIM-B030,MIX-03,SIM-CK01,2026-07-30T07:55:00+09:00,PASS,PASS,PASS,PASS,PASS,2026-07-30T08:55:00+09:00,10.04,25.26,2026-07-30T11:03:00+09:00,,RV-01,정상 작업 확인,SYNTHETIC
CK-031,SIM-B031,MIX-01,SIM-CK01,2026-07-31T07:55:00+09:00,PASS,PASS,PASS,PASS,PASS,2026-07-31T08:55:00+09:00,9.88,24.36,2026-07-31T11:06:00+09:00,,RV-01,정상 작업 확인,SYNTHETIC
CK-032,SIM-B032,MIX-02,SIM-CK01,2026-08-01T07:55:00+09:00,PASS,PASS,PASS,PASS,PASS,2026-08-01T08:55:00+09:00,9.92,24.78,2026-08-01T11:05:00+09:00,,RV-01,정상 작업 확인,SYNTHETIC
CK-033,SIM-B033,MIX-03,SIM-CK01,2026-08-02T07:55:00+09:00,PASS,PASS,PASS,PASS,PASS,2026-08-02T08:55:00+09:00,9.93,24.65,2026-08-02T11:08:00+09:00,,RV-01,정상 작업 확인,SYNTHETIC
CK-034,SIM-B034,MIX-01,SIM-CK01,2026-08-03T07:55:00+09:00,PASS,PASS,PASS,PASS,PASS,2026-08-03T08:55:00+09:00,9.99,23.94,2026-08-03T11:11:00+09:00,,RV-01,정상 작업 확인,SYNTHETIC
CK-035,SIM-B035,MIX-02,SIM-CK01,2026-08-04T07:55:00+09:00,PASS,PASS,PASS,PASS,PASS,2026-08-04T08:55:00+09:00,10.04,24.32,2026-08-04T11:04:00+09:00,,RV-01,정상 작업 확인,SYNTHETIC
CK-036,SIM-B036,MIX-03,SIM-CK01,2026-08-05T07:55:00+09:00,PASS,PASS,PASS,PASS,PASS,2026-08-05T08:55:00+09:00,9.98,24.31,2026-08-05T11:03:00+09:00,,RV-01,정상 작업 확인,SYNTHETIC
CK-037,SIM-B037,MIX-01,SIM-CK01,2026-08-06T07:55:00+09:00,PASS,PASS,PASS,PASS,PASS,2026-08-06T08:55:00+09:00,9.95,24.29,2026-08-06T11:06:00+09:00,,RV-01,정상 작업 확인,SYNTHETIC
CK-038,SIM-B038,MIX-02,SIM-CK01,2026-08-07T07:55:00+09:00,PASS,PASS,PASS,PASS,PASS,2026-08-07T08:55:00+09:00,9.89,24.88,2026-08-07T11:09:00+09:00,,RV-01,정상 작업 확인,SYNTHETIC
CK-039,SIM-B039,MIX-03,SIM-CK01,2026-08-08T07:55:00+09:00,PASS,PASS,PASS,PASS,PASS,2026-08-08T08:55:00+09:00,10.05,25.02,2026-08-08T11:12:00+09:00,,RV-01,정상 작업 확인,SYNTHETIC
CK-040,SIM-B040,MIX-01,SIM-CK01,2026-08-09T07:55:00+09:00,PASS,PASS,PASS,PASS,PASS,2026-08-09T08:55:00+09:00,9.91,25.16,2026-08-09T11:01:00+09:00,,RV-01,정상 작업 확인,SYNTHETIC
CK-041,SIM-B041,MIX-02,SIM-CK01,2026-08-10T07:55:00+09:00,PASS,PASS,PASS,PASS,PASS,2026-08-10T08:55:00+09:00,10.01,24.6,2026-08-10T11:04:00+09:00,,RV-01,정상 작업 확인,SYNTHETIC
CK-042,SIM-B042,MIX-03,SIM-CK01,2026-08-11T07:55:00+09:00,PASS,PASS,PASS,PASS,PASS,2026-08-11T08:55:00+09:00,10.05,25.12,2026-08-11T11:07:00+09:00,,RV-01,정상 작업 확인,SYNTHETIC
CK-043,SIM-B043,MIX-01,SIM-CK01,2026-08-12T07:55:00+09:00,PASS,PASS,PASS,PASS,PASS,2026-08-12T08:55:00+09:00,10.09,24.1,2026-08-12T11:10:00+09:00,,RV-01,정상 작업 확인,SYNTHETIC
CK-044,SIM-B044,MIX-02,SIM-CK01,2026-08-13T07:55:00+09:00,PASS,PASS,PASS,PASS,PASS,2026-08-13T08:55:00+09:00,10.09,23.9,2026-08-13T11:09:00+09:00,,RV-01,정상 작업 확인,SYNTHETIC
CK-045,SIM-B045,MIX-03,SIM-CK01,2026-08-14T07:55:00+09:00,PASS,PASS,PASS,PASS,PASS,2026-08-14T08:55:00+09:00,9.88,24.78,2026-08-14T11:02:00+09:00,,RV-01,정상 작업 확인,SYNTHETIC
CK-046,SIM-B046,MIX-01,SIM-CK01,2026-08-15T07:55:00+09:00,PASS,PASS,PASS,PASS,PASS,2026-08-15T08:55:00+09:00,9.97,31.2,2026-08-15T12:13:00+09:00,DEV-046,RV-01,혼합 온도 상승과 대기 연장 관찰,SYNTHETIC
CK-047,SIM-B047,MIX-02,SIM-CK01,2026-08-16T07:55:00+09:00,PASS,PASS,PASS,PASS,PASS,2026-08-16T08:55:00+09:00,9.86,24.92,2026-08-16T11:08:00+09:00,DEV-047,RV-01,여과 차압 상승 관찰,SYNTHETIC
CK-048,SIM-B048,MIX-03,SIM-CK01,2026-08-17T07:55:00+09:00,PASS,PASS,PASS,PASS,PASS,2026-08-17T08:55:00+09:00,9.9,23.49,2026-08-17T11:07:00+09:00,,RV-01,"신규 실리카 Lot 투입, 최종 QC 적합",SYNTHETIC
CK-049,SIM-B049,MIX-01,SIM-CK01,2026-08-18T07:55:00+09:00,PASS,PASS,PASS,PASS,PASS,2026-08-18T08:55:00+09:00,10.75,24.42,2026-08-18T11:10:00+09:00,,RV-01,최종 QC pH 이탈 확인 필요,SYNTHETIC
CK-050,SIM-B050,MIX-02,SIM-CK01,2026-08-19T07:55:00+09:00,PASS,PASS,PASS,PASS,PASS,2026-08-19T08:55:00+09:00,10.01,24.98,2026-08-19T11:03:00+09:00,,RV-01,제타 전위 측정 누락 확인 필요,SYNTHETIC
