QC_Record_ID,Batch_ID,Sample_ID,Sample_TS,Result_TS,Sample_Point,Method_Set_ID,Spec_Rev,pH_25C,Solids_wt_pct,Viscosity_mPa_s,PSD_D50_nm,PSD_D90_nm,PSD_Dilution_Factor,LPC_gt_0p5um_count_mL,LPC_gt_1p0um_count_mL,LPC_Dilution_Factor,Zeta_mV,Zeta_Dilution_Factor,Zeta_Test_pH,Zeta_Status,Fe_ug_kg,Fe_Qualifier,Fe_LOQ_ug_kg,QC_Status,Data_Origin
QC-011,SIM-B011,SMP-011,2026-07-11T10:59:00+09:00,2026-07-11T13:01:00+09:00,FINAL_FILL,SIM-QC-M01,SIM-Q01,10.09,10.08,1.721,88.7,134.8,100,1069,54,100,-42.2,10,9.99,MEASURED,0.491,EQ,0.1,PASS,SYNTHETIC
QC-012,SIM-B012,SMP-012,2026-07-12T10:58:00+09:00,2026-07-12T13:00:00+09:00,FINAL_FILL,SIM-QC-M01,SIM-Q01,10.09,9.98,1.862,89.9,134.2,100,658,70,100,-39.5,10,9.99,MEASURED,0.233,EQ,0.1,PASS,SYNTHETIC
QC-013,SIM-B013,SMP-013,2026-07-13T11:01:00+09:00,2026-07-13T13:03:00+09:00,FINAL_FILL,SIM-QC-M01,SIM-Q01,9.95,10.01,1.618,87.4,137.2,100,672,101,100,-40.1,10,9.85,MEASURED,0.164,EQ,0.1,PASS,SYNTHETIC
QC-014,SIM-B014,SMP-014,2026-07-14T11:04:00+09:00,2026-07-14T13:06:00+09:00,FINAL_FILL,SIM-QC-M01,SIM-Q01,9.92,10.1,1.672,88.9,128,100,828,105,100,-39,10,9.82,MEASURED,0.372,EQ,0.1,PASS,SYNTHETIC
QC-015,SIM-B015,SMP-015,2026-07-15T10:57:00+09:00,2026-07-15T12:59:00+09:00,FINAL_FILL,SIM-QC-M01,SIM-Q01,9.93,10.04,1.543,87.8,133.7,100,1195,83,100,-38.1,10,9.83,MEASURED,0.353,EQ,0.1,PASS,SYNTHETIC
QC-016,SIM-B016,SMP-016,2026-07-16T10:56:00+09:00,2026-07-16T12:58:00+09:00,FINAL_FILL,SIM-QC-M01,SIM-Q01,10.11,10.1,1.699,94.6,124.2,100,763,109,100,-41.8,10,10.01,MEASURED,0.464,EQ,0.1,PASS,SYNTHETIC
QC-017,SIM-B017,SMP-017,2026-07-17T10:59:00+09:00,2026-07-17T13:01:00+09:00,FINAL_FILL,SIM-QC-M01,SIM-Q01,10.13,9.92,1.766,91.4,119.5,100,705,106,100,-40.9,10,10.03,MEASURED,0.255,EQ,0.1,PASS,SYNTHETIC
QC-018,SIM-B018,SMP-018,2026-07-18T11:02:00+09:00,2026-07-18T13:04:00+09:00,FINAL_FILL,SIM-QC-M01,SIM-Q01,9.92,9.95,1.641,92.2,126.2,100,994,84,100,-38.4,10,9.82,MEASURED,0.455,EQ,0.1,PASS,SYNTHETIC
QC-019,SIM-B019,SMP-019,2026-07-19T11:05:00+09:00,2026-07-19T13:07:00+09:00,FINAL_FILL,SIM-QC-M01,SIM-Q01,9.94,9.93,1.783,94.3,133.9,100,960,52,100,-40.5,10,9.84,MEASURED,0.254,EQ,0.1,PASS,SYNTHETIC
QC-020,SIM-B020,SMP-020,2026-07-20T10:54:00+09:00,2026-07-20T12:56:00+09:00,FINAL_FILL,SIM-QC-M01,SIM-Q01,10,9.85,1.649,89.8,138.7,100,942,51,100,-41.3,10,9.9,MEASURED,0.214,EQ,0.1,PASS,SYNTHETIC
QC-021,SIM-B021,SMP-021,2026-07-21T10:57:00+09:00,2026-07-21T12:59:00+09:00,FINAL_FILL,SIM-QC-M01,SIM-Q01,10.04,9.91,1.773,86.3,138,100,1383,109,100,-41,10,9.94,MEASURED,0.274,EQ,0.1,PASS,SYNTHETIC
QC-022,SIM-B022,SMP-022,2026-07-22T11:00:00+09:00,2026-07-22T13:02:00+09:00,FINAL_FILL,SIM-QC-M01,SIM-Q01,9.88,9.99,1.521,92.1,125.1,100,1178,42,100,-39.2,10,9.78,MEASURED,0.199,EQ,0.1,PASS,SYNTHETIC
QC-023,SIM-B023,SMP-023,2026-07-23T11:03:00+09:00,2026-07-23T13:05:00+09:00,FINAL_FILL,SIM-QC-M01,SIM-Q01,9.99,9.91,1.625,86.5,126.1,100,1174,111,100,-40.4,10,9.89,MEASURED,0.269,EQ,0.1,PASS,SYNTHETIC
QC-024,SIM-B024,SMP-024,2026-07-24T11:02:00+09:00,2026-07-24T13:04:00+09:00,FINAL_FILL,SIM-QC-M01,SIM-Q01,9.99,10.09,1.528,88.7,138.2,100,948,78,100,-39.4,10,9.89,MEASURED,0.48,EQ,0.1,PASS,SYNTHETIC
QC-025,SIM-B025,SMP-025,2026-07-25T10:55:00+09:00,2026-07-25T12:57:00+09:00,FINAL_FILL,SIM-QC-M01,SIM-Q01,10.13,9.9,1.702,87.6,132.2,100,1032,112,100,-38.8,10,10.03,MEASURED,0.259,EQ,0.1,PASS,SYNTHETIC
QC-026,SIM-B026,SMP-026,2026-07-26T10:58:00+09:00,2026-07-26T13:00:00+09:00,FINAL_FILL,SIM-QC-M01,SIM-Q01,10.07,10.07,1.519,89.1,138.2,100,756,59,100,-41.5,10,9.97,MEASURED,0.327,EQ,0.1,PASS,SYNTHETIC
QC-027,SIM-B027,SMP-027,2026-07-27T11:01:00+09:00,2026-07-27T13:03:00+09:00,FINAL_FILL,SIM-QC-M01,SIM-Q01,9.99,10.15,1.774,93.4,124.4,100,671,87,100,-41.8,10,9.89,MEASURED,0.432,EQ,0.1,PASS,SYNTHETIC
QC-028,SIM-B028,SMP-028,2026-07-28T11:00:00+09:00,2026-07-28T13:02:00+09:00,FINAL_FILL,SIM-QC-M01,SIM-Q01,9.91,9.99,1.763,89.5,133,100,1317,44,100,-38.7,10,9.81,MEASURED,0.431,EQ,0.1,PASS,SYNTHETIC
QC-029,SIM-B029,SMP-029,2026-07-29T11:03:00+09:00,2026-07-29T13:05:00+09:00,FINAL_FILL,SIM-QC-M01,SIM-Q01,10.03,9.88,1.629,90.9,123.7,100,1130,55,100,-38,10,9.93,MEASURED,0.169,EQ,0.1,PASS,SYNTHETIC
QC-030,SIM-B030,SMP-030,2026-07-30T10:56:00+09:00,2026-07-30T12:58:00+09:00,FINAL_FILL,SIM-QC-M01,SIM-Q01,10.09,10.12,1.829,94.6,128.1,100,963,120,100,-41.2,10,9.99,MEASURED,0.359,EQ,0.1,PASS,SYNTHETIC
QC-031,SIM-B031,SMP-031,2026-07-31T10:59:00+09:00,2026-07-31T13:01:00+09:00,FINAL_FILL,SIM-QC-M01,SIM-Q01,9.93,9.9,1.785,91,122.8,100,1165,117,100,-41.8,10,9.83,MEASURED,0.27,EQ,0.1,PASS,SYNTHETIC
QC-032,SIM-B032,SMP-032,2026-08-01T10:58:00+09:00,2026-08-01T13:00:00+09:00,FINAL_FILL,SIM-QC-M01,SIM-Q01,9.97,9.97,1.647,85.9,130.6,100,940,88,100,-37.2,10,9.87,MEASURED,0.374,EQ,0.1,PASS,SYNTHETIC
QC-033,SIM-B033,SMP-033,2026-08-02T11:01:00+09:00,2026-08-02T13:03:00+09:00,FINAL_FILL,SIM-QC-M01,SIM-Q01,9.98,9.99,1.507,85.2,124,100,1147,112,100,-40.4,10,9.88,MEASURED,0.183,EQ,0.1,PASS,SYNTHETIC
QC-034,SIM-B034,SMP-034,2026-08-03T11:04:00+09:00,2026-08-03T13:06:00+09:00,FINAL_FILL,SIM-QC-M01,SIM-Q01,10.04,10.1,1.769,94.4,137.7,100,830,103,100,-42.8,10,9.94,MEASURED,0.175,EQ,0.1,PASS,SYNTHETIC
QC-035,SIM-B035,SMP-035,2026-08-04T10:57:00+09:00,2026-08-04T12:59:00+09:00,FINAL_FILL,SIM-QC-M01,SIM-Q01,10.09,9.96,1.771,90.7,127.9,100,1120,50,100,-41.3,10,9.99,MEASURED,0.48,EQ,0.1,PASS,SYNTHETIC
QC-036,SIM-B036,SMP-036,2026-08-05T10:56:00+09:00,2026-08-05T12:58:00+09:00,FINAL_FILL,SIM-QC-M01,SIM-Q01,10.03,10.06,1.685,88.3,128,100,1321,44,100,-40.2,10,9.93,MEASURED,0.287,EQ,0.1,PASS,SYNTHETIC
QC-037,SIM-B037,SMP-037,2026-08-06T10:59:00+09:00,2026-08-06T13:01:00+09:00,FINAL_FILL,SIM-QC-M01,SIM-Q01,10,9.93,1.57,94.7,138.3,100,954,105,100,-37.5,10,9.9,MEASURED,0.394,EQ,0.1,PASS,SYNTHETIC
QC-038,SIM-B038,SMP-038,2026-08-07T11:02:00+09:00,2026-08-07T13:04:00+09:00,FINAL_FILL,SIM-QC-M01,SIM-Q01,9.94,9.91,1.733,91.1,122.2,100,1345,101,100,-41,10,9.84,MEASURED,0.366,EQ,0.1,PASS,SYNTHETIC
QC-039,SIM-B039,SMP-039,2026-08-08T11:05:00+09:00,2026-08-08T13:07:00+09:00,FINAL_FILL,SIM-QC-M01,SIM-Q01,10.1,10.11,1.872,93.8,134.7,100,899,46,100,-42.8,10,10,MEASURED,0.314,EQ,0.1,PASS,SYNTHETIC
QC-040,SIM-B040,SMP-040,2026-08-09T10:54:00+09:00,2026-08-09T12:56:00+09:00,FINAL_FILL,SIM-QC-M01,SIM-Q01,9.96,10.02,1.725,88.9,123.4,100,1445,95,100,-39.6,10,9.86,MEASURED,0.33,EQ,0.1,PASS,SYNTHETIC
QC-041,SIM-B041,SMP-041,2026-08-10T10:57:00+09:00,2026-08-10T12:59:00+09:00,FINAL_FILL,SIM-QC-M01,SIM-Q01,10.06,10.03,1.887,91.9,136.2,100,658,52,100,-42.1,10,9.96,MEASURED,0.159,EQ,0.1,PASS,SYNTHETIC
QC-042,SIM-B042,SMP-042,2026-08-11T11:00:00+09:00,2026-08-11T13:02:00+09:00,FINAL_FILL,SIM-QC-M01,SIM-Q01,10.1,9.89,1.564,94.5,122.8,100,1190,48,100,-38.8,10,10,MEASURED,0.172,EQ,0.1,PASS,SYNTHETIC
QC-043,SIM-B043,SMP-043,2026-08-12T11:03:00+09:00,2026-08-12T13:05:00+09:00,FINAL_FILL,SIM-QC-M01,SIM-Q01,10.14,10.14,1.844,93.8,124.4,100,699,63,100,-37.5,10,10.04,MEASURED,0.482,EQ,0.1,PASS,SYNTHETIC
QC-044,SIM-B044,SMP-044,2026-08-13T11:02:00+09:00,2026-08-13T13:04:00+09:00,FINAL_FILL,SIM-QC-M01,SIM-Q01,10.14,10.13,1.644,88.6,129,100,1348,59,100,-42.2,10,10.04,MEASURED,0.342,EQ,0.1,PASS,SYNTHETIC
QC-045,SIM-B045,SMP-045,2026-08-14T10:55:00+09:00,2026-08-14T12:57:00+09:00,FINAL_FILL,SIM-QC-M01,SIM-Q01,9.93,9.89,1.641,85.5,129.7,100,1239,90,100,-37.8,10,9.83,MEASURED,0.459,EQ,0.1,PASS,SYNTHETIC
QC-046,SIM-B046,SMP-046,2026-08-15T12:06:00+09:00,2026-08-15T14:08:00+09:00,FINAL_FILL,SIM-QC-M01,SIM-Q01,10.02,9.96,1.807,88.7,165,100,5400,450,100,-37.4,10,9.92,MEASURED,0.184,EQ,0.1,FAIL,SYNTHETIC
QC-047,SIM-B047,SMP-047,2026-08-16T11:01:00+09:00,2026-08-16T13:03:00+09:00,FINAL_FILL,SIM-QC-M01,SIM-Q01,9.91,10.06,1.522,87.4,130.7,100,710,72,100,-39.9,10,9.81,MEASURED,0.353,EQ,0.1,PASS,SYNTHETIC
QC-048,SIM-B048,SMP-048,2026-08-17T11:00:00+09:00,2026-08-17T13:02:00+09:00,FINAL_FILL,SIM-QC-M01,SIM-Q01,9.95,9.85,1.76,93,126.9,100,875,96,100,-42.7,10,9.85,MEASURED,0.469,EQ,0.1,PASS,SYNTHETIC
QC-049,SIM-B049,SMP-049,2026-08-18T11:03:00+09:00,2026-08-18T13:05:00+09:00,FINAL_FILL,SIM-QC-M01,SIM-Q01,10.8,9.85,1.584,88.4,135,100,1055,116,100,-43,10,10.7,MEASURED,0.221,EQ,0.1,FAIL,SYNTHETIC
QC-050,SIM-B050,SMP-050,2026-08-19T10:56:00+09:00,2026-08-19T12:58:00+09:00,FINAL_FILL,SIM-QC-M01,SIM-Q01,10.06,9.99,1.644,88.3,126.4,100,1029,78,100,,10,,NOT_MEASURED,0.281,EQ,0.1,INCOMPLETE,SYNTHETIC
