Equipment_Record_ID,Batch_ID,Equipment_ID,Snapshot_TS,Tank_Working_Capacity_L,Wetted_Material,Filter_Assembly_ID,Filter_Lot_ID,Filter_Grade_ID,Filter_Installed_TS,Filter_Throughput_Before_L,Filter_Qualified_Limit_L,Last_Clean_End_TS,Last_PM_TS,Calibration_Due_Date,Data_Origin
EQP-017,SIM-B017,MIX-02,2026-07-17T07:50:00+09:00,1500,HDPE,FLT-02,FL-017,SIM-G01,2026-07-17T06:00:00+09:00,0,10000,2026-07-17T07:00:00+09:00,2026-06-24T08:00:00+09:00,2026-12-31,SYNTHETIC
EQP-018,SIM-B018,MIX-03,2026-07-18T07:50:00+09:00,1500,HDPE,FLT-03,FL-018,SIM-G01,2026-07-18T06:00:00+09:00,0,10000,2026-07-18T07:00:00+09:00,2026-06-24T08:00:00+09:00,2026-12-31,SYNTHETIC
EQP-019,SIM-B019,MIX-01,2026-07-19T07:50:00+09:00,1500,HDPE,FLT-01,FL-019,SIM-G01,2026-07-19T06:00:00+09:00,0,10000,2026-07-19T07:00:00+09:00,2026-06-24T08:00:00+09:00,2026-12-31,SYNTHETIC
EQP-020,SIM-B020,MIX-02,2026-07-20T07:50:00+09:00,1500,HDPE,FLT-02,FL-020,SIM-G01,2026-07-20T06:00:00+09:00,0,10000,2026-07-20T07:00:00+09:00,2026-06-24T08:00:00+09:00,2026-12-31,SYNTHETIC
EQP-021,SIM-B021,MIX-03,2026-07-21T07:50:00+09:00,1500,HDPE,FLT-03,FL-021,SIM-G01,2026-07-21T06:00:00+09:00,0,10000,2026-07-21T07:00:00+09:00,2026-06-24T08:00:00+09:00,2026-12-31,SYNTHETIC
EQP-022,SIM-B022,MIX-01,2026-07-22T07:50:00+09:00,1500,HDPE,FLT-01,FL-022,SIM-G01,2026-07-22T06:00:00+09:00,0,10000,2026-07-22T07:00:00+09:00,2026-06-24T08:00:00+09:00,2026-12-31,SYNTHETIC
EQP-023,SIM-B023,MIX-02,2026-07-23T07:50:00+09:00,1500,HDPE,FLT-02,FL-023,SIM-G01,2026-07-23T06:00:00+09:00,0,10000,2026-07-23T07:00:00+09:00,2026-06-24T08:00:00+09:00,2026-12-31,SYNTHETIC
EQP-024,SIM-B024,MIX-03,2026-07-24T07:50:00+09:00,1500,HDPE,FLT-03,FL-024,SIM-G01,2026-07-24T06:00:00+09:00,0,10000,2026-07-24T07:00:00+09:00,2026-06-24T08:00:00+09:00,2026-12-31,SYNTHETIC
EQP-025,SIM-B025,MIX-01,2026-07-25T07:50:00+09:00,1500,HDPE,FLT-01,FL-025,SIM-G01,2026-07-25T06:00:00+09:00,0,10000,2026-07-25T07:00:00+09:00,2026-06-24T08:00:00+09:00,2026-12-31,SYNTHETIC
EQP-026,SIM-B026,MIX-02,2026-07-26T07:50:00+09:00,1500,HDPE,FLT-02,FL-026,SIM-G01,2026-07-26T06:00:00+09:00,0,10000,2026-07-26T07:00:00+09:00,2026-06-24T08:00:00+09:00,2026-12-31,SYNTHETIC
EQP-027,SIM-B027,MIX-03,2026-07-27T07:50:00+09:00,1500,HDPE,FLT-03,FL-027,SIM-G01,2026-07-27T06:00:00+09:00,0,10000,2026-07-27T07:00:00+09:00,2026-06-24T08:00:00+09:00,2026-12-31,SYNTHETIC
EQP-028,SIM-B028,MIX-01,2026-07-28T07:50:00+09:00,1500,HDPE,FLT-01,FL-028,SIM-G01,2026-07-28T06:00:00+09:00,0,10000,2026-07-28T07:00:00+09:00,2026-06-24T08:00:00+09:00,2026-12-31,SYNTHETIC
EQP-029,SIM-B029,MIX-02,2026-07-29T07:50:00+09:00,1500,HDPE,FLT-02,FL-029,SIM-G01,2026-07-29T06:00:00+09:00,0,10000,2026-07-29T07:00:00+09:00,2026-06-24T08:00:00+09:00,2026-12-31,SYNTHETIC
EQP-030,SIM-B030,MIX-03,2026-07-30T07:50:00+09:00,1500,HDPE,FLT-03,FL-030,SIM-G01,2026-07-30T06:00:00+09:00,0,10000,2026-07-30T07:00:00+09:00,2026-06-24T08:00:00+09:00,2026-12-31,SYNTHETIC
EQP-031,SIM-B031,MIX-01,2026-07-31T07:50:00+09:00,1500,HDPE,FLT-01,FL-031,SIM-G01,2026-07-31T06:00:00+09:00,0,10000,2026-07-31T07:00:00+09:00,2026-06-24T08:00:00+09:00,2026-12-31,SYNTHETIC
EQP-032,SIM-B032,MIX-02,2026-08-01T07:50:00+09:00,1500,HDPE,FLT-02,FL-032,SIM-G01,2026-08-01T06:00:00+09:00,0,10000,2026-08-01T07:00:00+09:00,2026-06-24T08:00:00+09:00,2026-12-31,SYNTHETIC
EQP-033,SIM-B033,MIX-03,2026-08-02T07:50:00+09:00,1500,HDPE,FLT-03,FL-033,SIM-G01,2026-08-02T06:00:00+09:00,0,10000,2026-08-02T07:00:00+09:00,2026-06-24T08:00:00+09:00,2026-12-31,SYNTHETIC
EQP-034,SIM-B034,MIX-01,2026-08-03T07:50:00+09:00,1500,HDPE,FLT-01,FL-034,SIM-G01,2026-08-03T06:00:00+09:00,0,10000,2026-08-03T07:00:00+09:00,2026-06-24T08:00:00+09:00,2026-12-31,SYNTHETIC
EQP-035,SIM-B035,MIX-02,2026-08-04T07:50:00+09:00,1500,HDPE,FLT-02,FL-035,SIM-G01,2026-08-04T06:00:00+09:00,0,10000,2026-08-04T07:00:00+09:00,2026-06-24T08:00:00+09:00,2026-12-31,SYNTHETIC
EQP-036,SIM-B036,MIX-03,2026-08-05T07:50:00+09:00,1500,HDPE,FLT-03,FL-036,SIM-G01,2026-08-05T06:00:00+09:00,0,10000,2026-08-05T07:00:00+09:00,2026-06-24T08:00:00+09:00,2026-12-31,SYNTHETIC
EQP-037,SIM-B037,MIX-01,2026-08-06T07:50:00+09:00,1500,HDPE,FLT-01,FL-037,SIM-G01,2026-08-06T06:00:00+09:00,0,10000,2026-08-06T07:00:00+09:00,2026-06-24T08:00:00+09:00,2026-12-31,SYNTHETIC
EQP-038,SIM-B038,MIX-02,2026-08-07T07:50:00+09:00,1500,HDPE,FLT-02,FL-038,SIM-G01,2026-08-07T06:00:00+09:00,0,10000,2026-08-07T07:00:00+09:00,2026-06-24T08:00:00+09:00,2026-12-31,SYNTHETIC
EQP-039,SIM-B039,MIX-03,2026-08-08T07:50:00+09:00,1500,HDPE,FLT-03,FL-039,SIM-G01,2026-08-08T06:00:00+09:00,0,10000,2026-08-08T07:00:00+09:00,2026-06-24T08:00:00+09:00,2026-12-31,SYNTHETIC
EQP-040,SIM-B040,MIX-01,2026-08-09T07:50:00+09:00,1500,HDPE,FLT-01,FL-040,SIM-G01,2026-08-09T06:00:00+09:00,0,10000,2026-08-09T07:00:00+09:00,2026-06-24T08:00:00+09:00,2026-12-31,SYNTHETIC
EQP-041,SIM-B041,MIX-02,2026-08-10T07:50:00+09:00,1500,HDPE,FLT-02,FL-041,SIM-G01,2026-08-10T06:00:00+09:00,0,10000,2026-08-10T07:00:00+09:00,2026-06-24T08:00:00+09:00,2026-12-31,SYNTHETIC
EQP-042,SIM-B042,MIX-03,2026-08-11T07:50:00+09:00,1500,HDPE,FLT-03,FL-042,SIM-G01,2026-08-11T06:00:00+09:00,0,10000,2026-08-11T07:00:00+09:00,2026-06-24T08:00:00+09:00,2026-12-31,SYNTHETIC
EQP-043,SIM-B043,MIX-01,2026-08-12T07:50:00+09:00,1500,HDPE,FLT-01,FL-043,SIM-G01,2026-08-12T06:00:00+09:00,0,10000,2026-08-12T07:00:00+09:00,2026-06-24T08:00:00+09:00,2026-12-31,SYNTHETIC
EQP-044,SIM-B044,MIX-02,2026-08-13T07:50:00+09:00,1500,HDPE,FLT-02,FL-044,SIM-G01,2026-08-13T06:00:00+09:00,0,10000,2026-08-13T07:00:00+09:00,2026-06-24T08:00:00+09:00,2026-12-31,SYNTHETIC
EQP-045,SIM-B045,MIX-03,2026-08-14T07:50:00+09:00,1500,HDPE,FLT-03,FL-045,SIM-G01,2026-08-14T06:00:00+09:00,0,10000,2026-08-14T07:00:00+09:00,2026-06-24T08:00:00+09:00,2026-12-31,SYNTHETIC
EQP-046,SIM-B046,MIX-01,2026-08-15T07:50:00+09:00,1500,HDPE,FLT-01,FL-046,SIM-G01,2026-08-15T06:00:00+09:00,0,10000,2026-08-15T07:00:00+09:00,2026-06-24T08:00:00+09:00,2026-12-31,SYNTHETIC
EQP-047,SIM-B047,MIX-02,2026-08-16T07:50:00+09:00,1500,HDPE,FLT-02,FL-047,SIM-G01,2026-08-16T06:00:00+09:00,0,10000,2026-08-16T07:00:00+09:00,2026-06-24T08:00:00+09:00,2026-12-31,SYNTHETIC
EQP-048,SIM-B048,MIX-03,2026-08-17T07:50:00+09:00,1500,HDPE,FLT-03,FL-048,SIM-G01,2026-08-17T06:00:00+09:00,0,10000,2026-08-17T07:00:00+09:00,2026-06-24T08:00:00+09:00,2026-12-31,SYNTHETIC
EQP-049,SIM-B049,MIX-01,2026-08-18T07:50:00+09:00,1500,HDPE,FLT-01,FL-049,SIM-G01,2026-08-18T06:00:00+09:00,0,10000,2026-08-18T07:00:00+09:00,2026-06-24T08:00:00+09:00,2026-12-31,SYNTHETIC
EQP-050,SIM-B050,MIX-02,2026-08-19T07:50:00+09:00,1500,HDPE,FLT-02,FL-050,SIM-G01,2026-08-19T06:00:00+09:00,0,10000,2026-08-19T07:00:00+09:00,2026-06-24T08:00:00+09:00,2026-12-31,SYNTHETIC
