Batch_ID,Product_ID,Recipe_Rev,Customer_ID,Equipment_ID,Start_TS,End_TS,Operator_ID,Target_Mass_kg,Filled_Mass_kg,Disposition,Reference_Eligible,Investigation_Tag,Schema_Version,Data_Origin
SIM-B011,SIM-OX-01,SIM-R01,CUST-02,MIX-02,2026-07-11T08:00:00+09:00,2026-07-11T11:01:00+09:00,OP-04,1000,994.49,RELEASED,true,NONE,1.0,SYNTHETIC
SIM-B012,SIM-OX-01,SIM-R01,CUST-01,MIX-03,2026-07-12T08:00:00+09:00,2026-07-12T11:00:00+09:00,OP-01,1000,995.25,RELEASED,true,NONE,1.0,SYNTHETIC
SIM-B013,SIM-OX-01,SIM-R01,CUST-02,MIX-01,2026-07-13T08:00:00+09:00,2026-07-13T11:03:00+09:00,OP-02,1000,996.2,RELEASED,true,NONE,1.0,SYNTHETIC
SIM-B014,SIM-OX-01,SIM-R01,CUST-01,MIX-02,2026-07-14T08:00:00+09:00,2026-07-14T11:06:00+09:00,OP-03,1000,995.84,RELEASED,true,NONE,1.0,SYNTHETIC
SIM-B015,SIM-OX-01,SIM-R01,CUST-02,MIX-03,2026-07-15T08:00:00+09:00,2026-07-15T10:59:00+09:00,OP-04,1000,995.59,RELEASED,true,NONE,1.0,SYNTHETIC
SIM-B016,SIM-OX-01,SIM-R01,CUST-01,MIX-01,2026-07-16T08:00:00+09:00,2026-07-16T10:58:00+09:00,OP-01,1000,995.68,RELEASED,true,NONE,1.0,SYNTHETIC
SIM-B017,SIM-OX-01,SIM-R01,CUST-02,MIX-02,2026-07-17T08:00:00+09:00,2026-07-17T11:01:00+09:00,OP-02,1000,996.29,RELEASED,true,NONE,1.0,SYNTHETIC
SIM-B018,SIM-OX-01,SIM-R01,CUST-01,MIX-03,2026-07-18T08:00:00+09:00,2026-07-18T11:04:00+09:00,OP-03,1000,994.73,RELEASED,true,NONE,1.0,SYNTHETIC
SIM-B019,SIM-OX-01,SIM-R01,CUST-02,MIX-01,2026-07-19T08:00:00+09:00,2026-07-19T11:07:00+09:00,OP-04,1000,996.42,RELEASED,true,NONE,1.0,SYNTHETIC
SIM-B020,SIM-OX-01,SIM-R01,CUST-01,MIX-02,2026-07-20T08:00:00+09:00,2026-07-20T10:56:00+09:00,OP-01,1000,993.32,RELEASED,true,NONE,1.0,SYNTHETIC
SIM-B021,SIM-OX-01,SIM-R01,CUST-02,MIX-03,2026-07-21T08:00:00+09:00,2026-07-21T10:59:00+09:00,OP-02,1000,995.08,RELEASED,true,NONE,1.0,SYNTHETIC
SIM-B022,SIM-OX-01,SIM-R01,CUST-01,MIX-01,2026-07-22T08:00:00+09:00,2026-07-22T11:02:00+09:00,OP-03,1000,996.14,RELEASED,true,NONE,1.0,SYNTHETIC
SIM-B023,SIM-OX-01,SIM-R01,CUST-02,MIX-02,2026-07-23T08:00:00+09:00,2026-07-23T11:05:00+09:00,OP-04,1000,995.29,RELEASED,true,NONE,1.0,SYNTHETIC
SIM-B024,SIM-OX-01,SIM-R01,CUST-01,MIX-03,2026-07-24T08:00:00+09:00,2026-07-24T11:04:00+09:00,OP-01,1000,995.87,RELEASED,true,NONE,1.0,SYNTHETIC
SIM-B025,SIM-OX-01,SIM-R01,CUST-02,MIX-01,2026-07-25T08:00:00+09:00,2026-07-25T10:57:00+09:00,OP-02,1000,995.32,RELEASED,true,NONE,1.0,SYNTHETIC
SIM-B026,SIM-OX-01,SIM-R01,CUST-01,MIX-02,2026-07-26T08:00:00+09:00,2026-07-26T11:00:00+09:00,OP-03,1000,995.8,RELEASED,true,NONE,1.0,SYNTHETIC
SIM-B027,SIM-OX-01,SIM-R01,CUST-02,MIX-03,2026-07-27T08:00:00+09:00,2026-07-27T11:03:00+09:00,OP-04,1000,993.47,RELEASED,true,NONE,1.0,SYNTHETIC
SIM-B028,SIM-OX-01,SIM-R01,CUST-01,MIX-01,2026-07-28T08:00:00+09:00,2026-07-28T11:02:00+09:00,OP-01,1000,996.36,RELEASED,true,NONE,1.0,SYNTHETIC
SIM-B029,SIM-OX-01,SIM-R01,CUST-02,MIX-02,2026-07-29T08:00:00+09:00,2026-07-29T11:05:00+09:00,OP-02,1000,993.26,RELEASED,true,NONE,1.0,SYNTHETIC
SIM-B030,SIM-OX-01,SIM-R01,CUST-01,MIX-03,2026-07-30T08:00:00+09:00,2026-07-30T10:58:00+09:00,OP-03,1000,994.45,RELEASED,true,NONE,1.0,SYNTHETIC
SIM-B031,SIM-OX-01,SIM-R01,CUST-02,MIX-01,2026-07-31T08:00:00+09:00,2026-07-31T11:01:00+09:00,OP-04,1000,993.84,RELEASED,true,NONE,1.0,SYNTHETIC
SIM-B032,SIM-OX-01,SIM-R01,CUST-01,MIX-02,2026-08-01T08:00:00+09:00,2026-08-01T11:00:00+09:00,OP-01,1000,994.66,RELEASED,true,NONE,1.0,SYNTHETIC
SIM-B033,SIM-OX-01,SIM-R01,CUST-02,MIX-03,2026-08-02T08:00:00+09:00,2026-08-02T11:03:00+09:00,OP-02,1000,994.13,RELEASED,true,NONE,1.0,SYNTHETIC
SIM-B034,SIM-OX-01,SIM-R01,CUST-01,MIX-01,2026-08-03T08:00:00+09:00,2026-08-03T11:06:00+09:00,OP-03,1000,993.23,RELEASED,true,NONE,1.0,SYNTHETIC
SIM-B035,SIM-OX-01,SIM-R01,CUST-02,MIX-02,2026-08-04T08:00:00+09:00,2026-08-04T10:59:00+09:00,OP-04,1000,995.77,RELEASED,true,NONE,1.0,SYNTHETIC
SIM-B036,SIM-OX-01,SIM-R01,CUST-01,MIX-03,2026-08-05T08:00:00+09:00,2026-08-05T10:58:00+09:00,OP-01,1000,994.46,RELEASED,true,NONE,1.0,SYNTHETIC
SIM-B037,SIM-OX-01,SIM-R01,CUST-02,MIX-01,2026-08-06T08:00:00+09:00,2026-08-06T11:01:00+09:00,OP-02,1000,994.17,RELEASED,true,NONE,1.0,SYNTHETIC
SIM-B038,SIM-OX-01,SIM-R01,CUST-01,MIX-02,2026-08-07T08:00:00+09:00,2026-08-07T11:04:00+09:00,OP-03,1000,995.21,RELEASED,true,NONE,1.0,SYNTHETIC
SIM-B039,SIM-OX-01,SIM-R01,CUST-02,MIX-03,2026-08-08T08:00:00+09:00,2026-08-08T11:07:00+09:00,OP-04,1000,995.53,RELEASED,true,NONE,1.0,SYNTHETIC
SIM-B040,SIM-OX-01,SIM-R01,CUST-01,MIX-01,2026-08-09T08:00:00+09:00,2026-08-09T10:56:00+09:00,OP-01,1000,993.93,RELEASED,true,NONE,1.0,SYNTHETIC
SIM-B041,SIM-OX-01,SIM-R01,CUST-02,MIX-02,2026-08-10T08:00:00+09:00,2026-08-10T10:59:00+09:00,OP-02,1000,995.65,RELEASED,false,NONE,1.0,SYNTHETIC
SIM-B042,SIM-OX-01,SIM-R01,CUST-01,MIX-03,2026-08-11T08:00:00+09:00,2026-08-11T11:02:00+09:00,OP-03,1000,995.91,RELEASED,false,NONE,1.0,SYNTHETIC
SIM-B043,SIM-OX-01,SIM-R01,CUST-02,MIX-01,2026-08-12T08:00:00+09:00,2026-08-12T11:05:00+09:00,OP-04,1000,996.23,RELEASED,false,NONE,1.0,SYNTHETIC
SIM-B044,SIM-OX-01,SIM-R01,CUST-01,MIX-02,2026-08-13T08:00:00+09:00,2026-08-13T11:04:00+09:00,OP-01,1000,993.46,RELEASED,false,NONE,1.0,SYNTHETIC
SIM-B045,SIM-OX-01,SIM-R01,CUST-02,MIX-03,2026-08-14T08:00:00+09:00,2026-08-14T10:57:00+09:00,OP-02,1000,996.94,RELEASED,false,NONE,1.0,SYNTHETIC
SIM-B046,SIM-OX-01,SIM-R01,CUST-01,MIX-01,2026-08-15T08:00:00+09:00,2026-08-15T12:08:00+09:00,OP-03,1000,994.51,HOLD,false,TEMP_HOLD_LPC,1.0,SYNTHETIC
SIM-B047,SIM-OX-01,SIM-R01,CUST-02,MIX-02,2026-08-16T08:00:00+09:00,2026-08-16T11:03:00+09:00,OP-04,1000,994.32,HOLD,false,FILTER_DP,1.0,SYNTHETIC
SIM-B048,SIM-OX-01,SIM-R01,CUST-01,MIX-03,2026-08-17T08:00:00+09:00,2026-08-17T11:02:00+09:00,OP-01,1000,994.07,RELEASED,false,NEW_MATERIAL_LOT,1.0,SYNTHETIC
SIM-B049,SIM-OX-01,SIM-R01,CUST-02,MIX-01,2026-08-18T08:00:00+09:00,2026-08-18T11:05:00+09:00,OP-02,1000,995.95,HOLD,false,PH_OOS,1.0,SYNTHETIC
SIM-B050,SIM-OX-01,SIM-R01,CUST-01,MIX-02,2026-08-19T08:00:00+09:00,2026-08-19T10:58:00+09:00,OP-03,1000,993.69,HOLD,false,MISSING_ZETA,1.0,SYNTHETIC
