Material_Record_ID,Batch_ID,Silica_Lot_ID,Silica_Supplier_ID,Silica_COA_ID,Silica_Expiry_Date,Silica_Feed_Solids_wt_pct,Silica_Charge_kg,Additive_Lot_ID,Additive_Charge_kg,DIW_Supply_ID,DIW_Charge_kg,DIW_Conductivity_uS_cm,Charge_Start_TS,Charge_End_TS,Incoming_Status,Data_Origin
MAT-012,SIM-B012,SIL-02,SUP-01,COA-SIL-02,2027-06-30,30,333,ADD-01,1,DIW-LOOP-01,666,0.092,2026-07-12T08:00:00+09:00,2026-07-12T08:35:00+09:00,ACCEPTED,SYNTHETIC
MAT-013,SIM-B013,SIL-02,SUP-01,COA-SIL-02,2027-06-30,30,333,ADD-01,1,DIW-LOOP-01,666,0.102,2026-07-13T08:00:00+09:00,2026-07-13T08:35:00+09:00,ACCEPTED,SYNTHETIC
MAT-014,SIM-B014,SIL-02,SUP-01,COA-SIL-02,2027-06-30,30,333,ADD-01,1,DIW-LOOP-01,666,0.111,2026-07-14T08:00:00+09:00,2026-07-14T08:35:00+09:00,ACCEPTED,SYNTHETIC
MAT-015,SIM-B015,SIL-02,SUP-01,COA-SIL-02,2027-06-30,30,333,ADD-01,1,DIW-LOOP-01,666,0.12,2026-07-15T08:00:00+09:00,2026-07-15T08:35:00+09:00,ACCEPTED,SYNTHETIC
MAT-016,SIM-B016,SIL-02,SUP-01,COA-SIL-02,2027-06-30,30,333,ADD-01,1,DIW-LOOP-01,666,0.084,2026-07-16T08:00:00+09:00,2026-07-16T08:35:00+09:00,ACCEPTED,SYNTHETIC
MAT-017,SIM-B017,SIL-02,SUP-01,COA-SIL-02,2027-06-30,30,333,ADD-01,1,DIW-LOOP-01,666,0.117,2026-07-17T08:00:00+09:00,2026-07-17T08:35:00+09:00,ACCEPTED,SYNTHETIC
MAT-018,SIM-B018,SIL-02,SUP-01,COA-SIL-02,2027-06-30,30,333,ADD-01,1,DIW-LOOP-01,666,0.075,2026-07-18T08:00:00+09:00,2026-07-18T08:35:00+09:00,ACCEPTED,SYNTHETIC
MAT-019,SIM-B019,SIL-02,SUP-01,COA-SIL-02,2027-06-30,30,333,ADD-01,1,DIW-LOOP-01,666,0.066,2026-07-19T08:00:00+09:00,2026-07-19T08:35:00+09:00,ACCEPTED,SYNTHETIC
MAT-020,SIM-B020,SIL-02,SUP-01,COA-SIL-02,2027-06-30,30,333,ADD-01,1,DIW-LOOP-01,666,0.079,2026-07-20T08:00:00+09:00,2026-07-20T08:35:00+09:00,ACCEPTED,SYNTHETIC
MAT-021,SIM-B021,SIL-03,SUP-01,COA-SIL-03,2027-06-30,30,333,ADD-01,1,DIW-LOOP-01,666,0.095,2026-07-21T08:00:00+09:00,2026-07-21T08:35:00+09:00,ACCEPTED,SYNTHETIC
MAT-022,SIM-B022,SIL-03,SUP-01,COA-SIL-03,2027-06-30,30,333,ADD-01,1,DIW-LOOP-01,666,0.072,2026-07-22T08:00:00+09:00,2026-07-22T08:35:00+09:00,ACCEPTED,SYNTHETIC
MAT-023,SIM-B023,SIL-03,SUP-01,COA-SIL-03,2027-06-30,30,333,ADD-01,1,DIW-LOOP-01,666,0.113,2026-07-23T08:00:00+09:00,2026-07-23T08:35:00+09:00,ACCEPTED,SYNTHETIC
MAT-024,SIM-B024,SIL-03,SUP-01,COA-SIL-03,2027-06-30,30,333,ADD-01,1,DIW-LOOP-01,666,0.081,2026-07-24T08:00:00+09:00,2026-07-24T08:35:00+09:00,ACCEPTED,SYNTHETIC
MAT-025,SIM-B025,SIL-03,SUP-01,COA-SIL-03,2027-06-30,30,333,ADD-01,1,DIW-LOOP-01,666,0.096,2026-07-25T08:00:00+09:00,2026-07-25T08:35:00+09:00,ACCEPTED,SYNTHETIC
MAT-026,SIM-B026,SIL-03,SUP-01,COA-SIL-03,2027-06-30,30,333,ADD-01,1,DIW-LOOP-01,666,0.11,2026-07-26T08:00:00+09:00,2026-07-26T08:35:00+09:00,ACCEPTED,SYNTHETIC
MAT-027,SIM-B027,SIL-03,SUP-01,COA-SIL-03,2027-06-30,30,333,ADD-01,1,DIW-LOOP-01,666,0.069,2026-07-27T08:00:00+09:00,2026-07-27T08:35:00+09:00,ACCEPTED,SYNTHETIC
MAT-028,SIM-B028,SIL-03,SUP-01,COA-SIL-03,2027-06-30,30,333,ADD-01,1,DIW-LOOP-01,666,0.119,2026-07-28T08:00:00+09:00,2026-07-28T08:35:00+09:00,ACCEPTED,SYNTHETIC
MAT-029,SIM-B029,SIL-03,SUP-01,COA-SIL-03,2027-06-30,30,333,ADD-01,1,DIW-LOOP-01,666,0.112,2026-07-29T08:00:00+09:00,2026-07-29T08:35:00+09:00,ACCEPTED,SYNTHETIC
MAT-030,SIM-B030,SIL-03,SUP-01,COA-SIL-03,2027-06-30,30,333,ADD-01,1,DIW-LOOP-01,666,0.075,2026-07-30T08:00:00+09:00,2026-07-30T08:35:00+09:00,ACCEPTED,SYNTHETIC
MAT-031,SIM-B031,SIL-04,SUP-01,COA-SIL-04,2027-06-30,30,333,ADD-01,1,DIW-LOOP-01,666,0.078,2026-07-31T08:00:00+09:00,2026-07-31T08:35:00+09:00,ACCEPTED,SYNTHETIC
MAT-032,SIM-B032,SIL-04,SUP-01,COA-SIL-04,2027-06-30,30,333,ADD-01,1,DIW-LOOP-01,666,0.117,2026-08-01T08:00:00+09:00,2026-08-01T08:35:00+09:00,ACCEPTED,SYNTHETIC
MAT-033,SIM-B033,SIL-04,SUP-01,COA-SIL-04,2027-06-30,30,333,ADD-01,1,DIW-LOOP-01,666,0.084,2026-08-02T08:00:00+09:00,2026-08-02T08:35:00+09:00,ACCEPTED,SYNTHETIC
MAT-034,SIM-B034,SIL-04,SUP-01,COA-SIL-04,2027-06-30,30,333,ADD-01,1,DIW-LOOP-01,666,0.112,2026-08-03T08:00:00+09:00,2026-08-03T08:35:00+09:00,ACCEPTED,SYNTHETIC
MAT-035,SIM-B035,SIL-04,SUP-01,COA-SIL-04,2027-06-30,30,333,ADD-01,1,DIW-LOOP-01,666,0.071,2026-08-04T08:00:00+09:00,2026-08-04T08:35:00+09:00,ACCEPTED,SYNTHETIC
MAT-036,SIM-B036,SIL-04,SUP-01,COA-SIL-04,2027-06-30,30,333,ADD-01,1,DIW-LOOP-01,666,0.091,2026-08-05T08:00:00+09:00,2026-08-05T08:35:00+09:00,ACCEPTED,SYNTHETIC
MAT-037,SIM-B037,SIL-04,SUP-01,COA-SIL-04,2027-06-30,30,333,ADD-01,1,DIW-LOOP-01,666,0.088,2026-08-06T08:00:00+09:00,2026-08-06T08:35:00+09:00,ACCEPTED,SYNTHETIC
MAT-038,SIM-B038,SIL-04,SUP-01,COA-SIL-04,2027-06-30,30,333,ADD-01,1,DIW-LOOP-01,666,0.069,2026-08-07T08:00:00+09:00,2026-08-07T08:35:00+09:00,ACCEPTED,SYNTHETIC
MAT-039,SIM-B039,SIL-04,SUP-01,COA-SIL-04,2027-06-30,30,333,ADD-01,1,DIW-LOOP-01,666,0.078,2026-08-08T08:00:00+09:00,2026-08-08T08:35:00+09:00,ACCEPTED,SYNTHETIC
MAT-040,SIM-B040,SIL-04,SUP-01,COA-SIL-04,2027-06-30,30,333,ADD-01,1,DIW-LOOP-01,666,0.097,2026-08-09T08:00:00+09:00,2026-08-09T08:35:00+09:00,ACCEPTED,SYNTHETIC
MAT-041,SIM-B041,SIL-01,SUP-01,COA-SIL-01,2027-06-30,30,333,ADD-01,1,DIW-LOOP-01,666,0.087,2026-08-10T08:00:00+09:00,2026-08-10T08:35:00+09:00,ACCEPTED,SYNTHETIC
MAT-042,SIM-B042,SIL-01,SUP-01,COA-SIL-01,2027-06-30,30,333,ADD-01,1,DIW-LOOP-01,666,0.073,2026-08-11T08:00:00+09:00,2026-08-11T08:35:00+09:00,ACCEPTED,SYNTHETIC
MAT-043,SIM-B043,SIL-01,SUP-01,COA-SIL-01,2027-06-30,30,333,ADD-01,1,DIW-LOOP-01,666,0.114,2026-08-12T08:00:00+09:00,2026-08-12T08:35:00+09:00,ACCEPTED,SYNTHETIC
MAT-044,SIM-B044,SIL-01,SUP-01,COA-SIL-01,2027-06-30,30,333,ADD-01,1,DIW-LOOP-01,666,0.064,2026-08-13T08:00:00+09:00,2026-08-13T08:35:00+09:00,ACCEPTED,SYNTHETIC
MAT-045,SIM-B045,SIL-01,SUP-01,COA-SIL-01,2027-06-30,30,333,ADD-01,1,DIW-LOOP-01,666,0.073,2026-08-14T08:00:00+09:00,2026-08-14T08:35:00+09:00,ACCEPTED,SYNTHETIC
MAT-046,SIM-B046,SIL-01,SUP-01,COA-SIL-01,2027-06-30,30,333,ADD-01,1,DIW-LOOP-01,666,0.102,2026-08-15T08:00:00+09:00,2026-08-15T08:35:00+09:00,ACCEPTED,SYNTHETIC
MAT-047,SIM-B047,SIL-01,SUP-01,COA-SIL-01,2027-06-30,30,333,ADD-01,1,DIW-LOOP-01,666,0.094,2026-08-16T08:00:00+09:00,2026-08-16T08:35:00+09:00,ACCEPTED,SYNTHETIC
MAT-048,SIM-B048,SIL-NEW-01,SUP-01,COA-SIL-NEW-01,2027-06-30,30,333,ADD-01,1,DIW-LOOP-01,666,0.09,2026-08-17T08:00:00+09:00,2026-08-17T08:35:00+09:00,ACCEPTED,SYNTHETIC
MAT-049,SIM-B049,SIL-01,SUP-01,COA-SIL-01,2027-06-30,30,333,ADD-01,1,DIW-LOOP-01,666,0.101,2026-08-18T08:00:00+09:00,2026-08-18T08:35:00+09:00,ACCEPTED,SYNTHETIC
MAT-050,SIM-B050,SIL-01,SUP-01,COA-SIL-01,2027-06-30,30,333,ADD-01,1,DIW-LOOP-01,666,0.082,2026-08-19T08:00:00+09:00,2026-08-19T08:35:00+09:00,ACCEPTED,SYNTHETIC
