"QC_Record_ID","Batch_ID","Sample_ID","Analyte_ID","Value","Unit","Method_ID","Spec_Rev","LSL","USL","Qualifier","Sample_TS","Result_TS","Is_Final","Approval_Status","Spec_Status","Data_Origin","Target"
"SIM-S0002-Q-D50","SIM-S0002","SIM-S0002-S","D50","93.6757","nm","SIM-M-D50","SIM-Q02","75","105","EQ","2026-08-31T23:15:00Z","2026-09-01T00:00:00Z","true","APPROVED","DEMO","SYNTHETIC","90"
"SIM-S0002-Q-D90","SIM-S0002","SIM-S0002-S","D90","125.3541","nm","SIM-M-D90","SIM-Q02","110","180","EQ","2026-08-31T23:15:00Z","2026-09-01T00:00:00Z","true","APPROVED","DEMO","SYNTHETIC","130"
"SIM-S0002-Q-LPC_0p5","SIM-S0002","SIM-S0002-S","LPC_0p5","850.1479","count/mL","SIM-M-LPC_0p5","SIM-Q02","","3000","EQ","2026-08-31T23:15:00Z","2026-09-01T00:00:00Z","true","APPROVED","DEMO","SYNTHETIC","1000"
"SIM-S0002-Q-LPC_1p0","SIM-S0002","SIM-S0002-S","LPC_1p0","94.2523","count/mL","SIM-M-LPC_1p0","SIM-Q02","","600","EQ","2026-08-31T23:15:00Z","2026-09-01T00:00:00Z","true","APPROVED","DEMO","SYNTHETIC","80"
"SIM-S0002-Q-Zeta","SIM-S0002","SIM-S0002-S","Zeta","-41.0453","mV","SIM-M-Zeta","SIM-Q02","-50","-30","EQ","2026-08-31T23:15:00Z","2026-09-01T00:00:00Z","true","APPROVED","DEMO","SYNTHETIC","-40"
"SIM-S0002-Q-Fe","SIM-S0002","SIM-S0002-S","Fe","0.3407","ug/kg","SIM-M-Fe","SIM-Q02","","1","EQ","2026-08-31T23:15:00Z","2026-09-01T00:00:00Z","true","APPROVED","DEMO","SYNTHETIC","0.3"
"SIM-S0003-Q-pH","SIM-S0003","SIM-S0003-S","pH","9.9471","pH","SIM-M-pH","SIM-Q02","9.5","10.5","EQ","2026-08-31T23:15:00Z","2026-09-01T00:00:00Z","true","APPROVED","DEMO","SYNTHETIC","10"
"SIM-S0003-Q-Solids","SIM-S0003","SIM-S0003-S","Solids","10.0597","wt%","SIM-M-Solids","SIM-Q02","9.5","10.5","EQ","2026-08-31T23:15:00Z","2026-09-01T00:00:00Z","true","APPROVED","DEMO","SYNTHETIC","10"
"SIM-S0003-Q-Viscosity","SIM-S0003","SIM-S0003-S","Viscosity","1.6477","mPa.s","SIM-M-Viscosity","SIM-Q02","1.2","2.2","EQ","2026-08-31T23:15:00Z","2026-09-01T00:00:00Z","true","APPROVED","DEMO","SYNTHETIC","1.7"
"SIM-S0003-Q-D50","SIM-S0003","SIM-S0003-S","D50","90.8844","nm","SIM-M-D50","SIM-Q02","75","105","EQ","2026-08-31T23:15:00Z","2026-09-01T00:00:00Z","true","APPROVED","DEMO","SYNTHETIC","90"
"SIM-S0003-Q-D90","SIM-S0003","SIM-S0003-S","D90","130.4392","nm","SIM-M-D90","SIM-Q02","110","180","EQ","2026-08-31T23:15:00Z","2026-09-01T00:00:00Z","true","APPROVED","DEMO","SYNTHETIC","130"
"SIM-S0003-Q-LPC_0p5","SIM-S0003","SIM-S0003-S","LPC_0p5","1338.1116","count/mL","SIM-M-LPC_0p5","SIM-Q02","","3000","EQ","2026-08-31T23:15:00Z","2026-09-01T00:00:00Z","true","APPROVED","DEMO","SYNTHETIC","1000"
"SIM-S0003-Q-LPC_1p0","SIM-S0003","SIM-S0003-S","LPC_1p0","72.4274","count/mL","SIM-M-LPC_1p0","SIM-Q02","","600","EQ","2026-08-31T23:15:00Z","2026-09-01T00:00:00Z","true","APPROVED","DEMO","SYNTHETIC","80"
"SIM-S0003-Q-Zeta","SIM-S0003","SIM-S0003-S","Zeta","-40.3871","mV","SIM-M-Zeta","SIM-Q02","-50","-30","EQ","2026-08-31T23:15:00Z","2026-09-01T00:00:00Z","true","APPROVED","DEMO","SYNTHETIC","-40"
"SIM-S0003-Q-Fe","SIM-S0003","SIM-S0003-S","Fe","0.2714","ug/kg","SIM-M-Fe","SIM-Q02","","1","EQ","2026-08-31T23:15:00Z","2026-09-01T00:00:00Z","true","APPROVED","DEMO","SYNTHETIC","0.3"
"SIM-S0004-Q-pH","SIM-S0004","SIM-S0004-S","pH","10.1136","pH","SIM-M-pH","SIM-Q02","9.5","10.5","EQ","2026-09-01T00:45:00Z","2026-09-01T01:30:00Z","true","APPROVED","DEMO","SYNTHETIC","10"
"SIM-S0004-Q-Solids","SIM-S0004","SIM-S0004-S","Solids","9.9285","wt%","SIM-M-Solids","SIM-Q02","9.5","10.5","EQ","2026-09-01T00:45:00Z","2026-09-01T01:30:00Z","true","APPROVED","DEMO","SYNTHETIC","10"
"SIM-S0004-Q-Viscosity","SIM-S0004","SIM-S0004-S","Viscosity","1.7273","mPa.s","SIM-M-Viscosity","SIM-Q02","1.2","2.2","EQ","2026-09-01T00:45:00Z","2026-09-01T01:30:00Z","true","APPROVED","DEMO","SYNTHETIC","1.7"
"SIM-S0004-Q-D50","SIM-S0004","SIM-S0004-S","D50","91.7525","nm","SIM-M-D50","SIM-Q02","75","105","EQ","2026-09-01T00:45:00Z","2026-09-01T01:30:00Z","true","APPROVED","DEMO","SYNTHETIC","90"
"SIM-S0004-Q-D90","SIM-S0004","SIM-S0004-S","D90","132.6991","nm","SIM-M-D90","SIM-Q02","110","180","EQ","2026-09-01T00:45:00Z","2026-09-01T01:30:00Z","true","APPROVED","DEMO","SYNTHETIC","130"
"SIM-S0004-Q-LPC_0p5","SIM-S0004","SIM-S0004-S","LPC_0p5","1102.1875","count/mL","SIM-M-LPC_0p5","SIM-Q02","","3000","EQ","2026-09-01T00:45:00Z","2026-09-01T01:30:00Z","true","APPROVED","DEMO","SYNTHETIC","1000"
"SIM-S0004-Q-LPC_1p0","SIM-S0004","SIM-S0004-S","LPC_1p0","67.2135","count/mL","SIM-M-LPC_1p0","SIM-Q02","","600","EQ","2026-09-01T00:45:00Z","2026-09-01T01:30:00Z","true","APPROVED","DEMO","SYNTHETIC","80"
"SIM-S0004-Q-Zeta","SIM-S0004","SIM-S0004-S","Zeta","-38.9035","mV","SIM-M-Zeta","SIM-Q02","-50","-30","EQ","2026-09-01T00:45:00Z","2026-09-01T01:30:00Z","true","APPROVED","DEMO","SYNTHETIC","-40"
"SIM-S0004-Q-Fe","SIM-S0004","SIM-S0004-S","Fe","0.2931","ug/kg","SIM-M-Fe","SIM-Q02","","1","EQ","2026-09-01T00:45:00Z","2026-09-01T01:30:00Z","true","APPROVED","DEMO","SYNTHETIC","0.3"
"SIM-S0005-Q-pH","SIM-S0005","SIM-S0005-S","pH","10.0106","pH","SIM-M-pH","SIM-Q02","9.5","10.5","EQ","2026-09-01T00:45:00Z","2026-09-01T01:30:00Z","true","APPROVED","DEMO","SYNTHETIC","10"
"SIM-S0005-Q-Solids","SIM-S0005","SIM-S0005-S","Solids","10.0303","wt%","SIM-M-Solids","SIM-Q02","9.5","10.5","EQ","2026-09-01T00:45:00Z","2026-09-01T01:30:00Z","true","APPROVED","DEMO","SYNTHETIC","10"
"SIM-S0005-Q-Viscosity","SIM-S0005","SIM-S0005-S","Viscosity","1.6893","mPa.s","SIM-M-Viscosity","SIM-Q02","1.2","2.2","EQ","2026-09-01T00:45:00Z","2026-09-01T01:30:00Z","true","APPROVED","DEMO","SYNTHETIC","1.7"
"SIM-S0005-Q-D50","SIM-S0005","SIM-S0005-S","D50","92.4226","nm","SIM-M-D50","SIM-Q02","75","105","EQ","2026-09-01T00:45:00Z","2026-09-01T01:30:00Z","true","APPROVED","DEMO","SYNTHETIC","90"
"SIM-S0005-Q-D90","SIM-S0005","SIM-S0005-S","D90","127.3762","nm","SIM-M-D90","SIM-Q02","110","180","EQ","2026-09-01T00:45:00Z","2026-09-01T01:30:00Z","true","APPROVED","DEMO","SYNTHETIC","130"
"SIM-S0005-Q-LPC_0p5","SIM-S0005","SIM-S0005-S","LPC_0p5","950.9558","count/mL","SIM-M-LPC_0p5","SIM-Q02","","3000","EQ","2026-09-01T00:45:00Z","2026-09-01T01:30:00Z","true","APPROVED","DEMO","SYNTHETIC","1000"
"SIM-S0005-Q-LPC_1p0","SIM-S0005","SIM-S0005-S","LPC_1p0","84.2831","count/mL","SIM-M-LPC_1p0","SIM-Q02","","600","EQ","2026-09-01T00:45:00Z","2026-09-01T01:30:00Z","true","APPROVED","DEMO","SYNTHETIC","80"
"SIM-S0005-Q-Zeta","SIM-S0005","SIM-S0005-S","Zeta","-39.4393","mV","SIM-M-Zeta","SIM-Q02","-50","-30","EQ","2026-09-01T00:45:00Z","2026-09-01T01:30:00Z","true","APPROVED","DEMO","SYNTHETIC","-40"
"SIM-S0005-Q-Fe","SIM-S0005","SIM-S0005-S","Fe","0.343","ug/kg","SIM-M-Fe","SIM-Q02","","1","EQ","2026-09-01T00:45:00Z","2026-09-01T01:30:00Z","true","APPROVED","DEMO","SYNTHETIC","0.3"
"SIM-S0006-Q-pH","SIM-S0006","SIM-S0006-S","pH","9.9937","pH","SIM-M-pH","SIM-Q02","9.5","10.5","EQ","2026-09-01T00:45:00Z","2026-09-01T01:30:00Z","true","APPROVED","DEMO","SYNTHETIC","10"
"SIM-S0006-Q-Solids","SIM-S0006","SIM-S0006-S","Solids","10.0359","wt%","SIM-M-Solids","SIM-Q02","9.5","10.5","EQ","2026-09-01T00:45:00Z","2026-09-01T01:30:00Z","true","APPROVED","DEMO","SYNTHETIC","10"
"SIM-S0006-Q-Viscosity","SIM-S0006","SIM-S0006-S","Viscosity","1.6616","mPa.s","SIM-M-Viscosity","SIM-Q02","1.2","2.2","EQ","2026-09-01T00:45:00Z","2026-09-01T01:30:00Z","true","APPROVED","DEMO","SYNTHETIC","1.7"
"SIM-S0006-Q-D50","SIM-S0006","SIM-S0006-S","D50","93.7881","nm","SIM-M-D50","SIM-Q02","75","105","EQ","2026-09-01T00:45:00Z","2026-09-01T01:30:00Z","true","APPROVED","DEMO","SYNTHETIC","90"
"SIM-S0006-Q-D90","SIM-S0006","SIM-S0006-S","D90","133.515","nm","SIM-M-D90","SIM-Q02","110","180","EQ","2026-09-01T00:45:00Z","2026-09-01T01:30:00Z","true","APPROVED","DEMO","SYNTHETIC","130"
"SIM-S0006-Q-LPC_0p5","SIM-S0006","SIM-S0006-S","LPC_0p5","950.9607","count/mL","SIM-M-LPC_0p5","SIM-Q02","","3000","EQ","2026-09-01T00:45:00Z","2026-09-01T01:30:00Z","true","APPROVED","DEMO","SYNTHETIC","1000"
"SIM-S0006-Q-LPC_1p0","SIM-S0006","SIM-S0006-S","LPC_1p0","74.6922","count/mL","SIM-M-LPC_1p0","SIM-Q02","","600","EQ","2026-09-01T00:45:00Z","2026-09-01T01:30:00Z","true","APPROVED","DEMO","SYNTHETIC","80"
"SIM-S0006-Q-Zeta","SIM-S0006","SIM-S0006-S","Zeta","-39.2768","mV","SIM-M-Zeta","SIM-Q02","-50","-30","EQ","2026-09-01T00:45:00Z","2026-09-01T01:30:00Z","true","APPROVED","DEMO","SYNTHETIC","-40"
"SIM-S0006-Q-Fe","SIM-S0006","SIM-S0006-S","Fe","0.303","ug/kg","SIM-M-Fe","SIM-Q02","","1","EQ","2026-09-01T00:45:00Z","2026-09-01T01:30:00Z","true","APPROVED","DEMO","SYNTHETIC","0.3"
"SIM-S0007-Q-pH","SIM-S0007","SIM-S0007-S","pH","10.0368","pH","SIM-M-pH","SIM-Q02","9.5","10.5","EQ","2026-09-01T02:15:00Z","2026-09-01T03:00:00Z","true","APPROVED","DEMO","SYNTHETIC","10"
"SIM-S0007-Q-Solids","SIM-S0007","SIM-S0007-S","Solids","9.9956","wt%","SIM-M-Solids","SIM-Q02","9.5","10.5","EQ","2026-09-01T02:15:00Z","2026-09-01T03:00:00Z","true","APPROVED","DEMO","SYNTHETIC","10"
"SIM-S0007-Q-Viscosity","SIM-S0007","SIM-S0007-S","Viscosity","1.7108","mPa.s","SIM-M-Viscosity","SIM-Q02","1.2","2.2","EQ","2026-09-01T02:15:00Z","2026-09-01T03:00:00Z","true","APPROVED","DEMO","SYNTHETIC","1.7"
"SIM-S0007-Q-D50","SIM-S0007","SIM-S0007-S","D50","91.1509","nm","SIM-M-D50","SIM-Q02","75","105","EQ","2026-09-01T02:15:00Z","2026-09-01T03:00:00Z","true","APPROVED","DEMO","SYNTHETIC","90"
"SIM-S0007-Q-D90","SIM-S0007","SIM-S0007-S","D90","131.8639","nm","SIM-M-D90","SIM-Q02","110","180","EQ","2026-09-01T02:15:00Z","2026-09-01T03:00:00Z","true","APPROVED","DEMO","SYNTHETIC","130"
"SIM-S0007-Q-LPC_0p5","SIM-S0007","SIM-S0007-S","LPC_0p5","762.7694","count/mL","SIM-M-LPC_0p5","SIM-Q02","","3000","EQ","2026-09-01T02:15:00Z","2026-09-01T03:00:00Z","true","APPROVED","DEMO","SYNTHETIC","1000"
"SIM-S0007-Q-LPC_1p0","SIM-S0007","SIM-S0007-S","LPC_1p0","75.2618","count/mL","SIM-M-LPC_1p0","SIM-Q02","","600","EQ","2026-09-01T02:15:00Z","2026-09-01T03:00:00Z","true","APPROVED","DEMO","SYNTHETIC","80"
"SIM-S0007-Q-Zeta","SIM-S0007","SIM-S0007-S","Zeta","-41.244","mV","SIM-M-Zeta","SIM-Q02","-50","-30","EQ","2026-09-01T02:15:00Z","2026-09-01T03:00:00Z","true","APPROVED","DEMO","SYNTHETIC","-40"
"SIM-S0007-Q-Fe","SIM-S0007","SIM-S0007-S","Fe","0.2677","ug/kg","SIM-M-Fe","SIM-Q02","","1","EQ","2026-09-01T02:15:00Z","2026-09-01T03:00:00Z","true","APPROVED","DEMO","SYNTHETIC","0.3"
"SIM-S0008-Q-pH","SIM-S0008","SIM-S0008-S","pH","9.9735","pH","SIM-M-pH","SIM-Q02","9.5","10.5","EQ","2026-09-01T02:15:00Z","2026-09-01T03:00:00Z","true","APPROVED","DEMO","SYNTHETIC","10"
"SIM-S0008-Q-Solids","SIM-S0008","SIM-S0008-S","Solids","10.1016","wt%","SIM-M-Solids","SIM-Q02","9.5","10.5","EQ","2026-09-01T02:15:00Z","2026-09-01T03:00:00Z","true","APPROVED","DEMO","SYNTHETIC","10"
"SIM-S0008-Q-Viscosity","SIM-S0008","SIM-S0008-S","Viscosity","1.6651","mPa.s","SIM-M-Viscosity","SIM-Q02","1.2","2.2","EQ","2026-09-01T02:15:00Z","2026-09-01T03:00:00Z","true","APPROVED","DEMO","SYNTHETIC","1.7"
"SIM-S0008-Q-D50","SIM-S0008","SIM-S0008-S","D50","91.851","nm","SIM-M-D50","SIM-Q02","75","105","EQ","2026-09-01T02:15:00Z","2026-09-01T03:00:00Z","true","APPROVED","DEMO","SYNTHETIC","90"
"SIM-S0008-Q-D90","SIM-S0008","SIM-S0008-S","D90","125.4511","nm","SIM-M-D90","SIM-Q02","110","180","EQ","2026-09-01T02:15:00Z","2026-09-01T03:00:00Z","true","APPROVED","DEMO","SYNTHETIC","130"
"SIM-S0008-Q-LPC_0p5","SIM-S0008","SIM-S0008-S","LPC_0p5","793.5697","count/mL","SIM-M-LPC_0p5","SIM-Q02","","3000","EQ","2026-09-01T02:15:00Z","2026-09-01T03:00:00Z","true","APPROVED","DEMO","SYNTHETIC","1000"
"SIM-S0008-Q-LPC_1p0","SIM-S0008","SIM-S0008-S","LPC_1p0","65.6919","count/mL","SIM-M-LPC_1p0","SIM-Q02","","600","EQ","2026-09-01T02:15:00Z","2026-09-01T03:00:00Z","true","APPROVED","DEMO","SYNTHETIC","80"
"SIM-S0008-Q-Zeta","SIM-S0008","SIM-S0008-S","Zeta","-40.2683","mV","SIM-M-Zeta","SIM-Q02","-50","-30","EQ","2026-09-01T02:15:00Z","2026-09-01T03:00:00Z","true","APPROVED","DEMO","SYNTHETIC","-40"
"SIM-S0008-Q-Fe","SIM-S0008","SIM-S0008-S","Fe","0.3418","ug/kg","SIM-M-Fe","SIM-Q02","","1","EQ","2026-09-01T02:15:00Z","2026-09-01T03:00:00Z","true","APPROVED","DEMO","SYNTHETIC","0.3"
"SIM-S0009-Q-pH","SIM-S0009","SIM-S0009-S","pH","9.9157","pH","SIM-M-pH","SIM-Q02","9.5","10.5","EQ","2026-09-01T02:15:00Z","2026-09-01T03:00:00Z","true","APPROVED","DEMO","SYNTHETIC","10"
"SIM-S0009-Q-Solids","SIM-S0009","SIM-S0009-S","Solids","9.9745","wt%","SIM-M-Solids","SIM-Q02","9.5","10.5","EQ","2026-09-01T02:15:00Z","2026-09-01T03:00:00Z","true","APPROVED","DEMO","SYNTHETIC","10"
"SIM-S0009-Q-Viscosity","SIM-S0009","SIM-S0009-S","Viscosity","1.732","mPa.s","SIM-M-Viscosity","SIM-Q02","1.2","2.2","EQ","2026-09-01T02:15:00Z","2026-09-01T03:00:00Z","true","APPROVED","DEMO","SYNTHETIC","1.7"
"SIM-S0009-Q-D50","SIM-S0009","SIM-S0009-S","D50","88.5243","nm","SIM-M-D50","SIM-Q02","75","105","EQ","2026-09-01T02:15:00Z","2026-09-01T03:00:00Z","true","APPROVED","DEMO","SYNTHETIC","90"
"SIM-S0009-Q-D90","SIM-S0009","SIM-S0009-S","D90","131.6941","nm","SIM-M-D90","SIM-Q02","110","180","EQ","2026-09-01T02:15:00Z","2026-09-01T03:00:00Z","true","APPROVED","DEMO","SYNTHETIC","130"
"SIM-S0009-Q-LPC_0p5","SIM-S0009","SIM-S0009-S","LPC_0p5","879.6904","count/mL","SIM-M-LPC_0p5","SIM-Q02","","3000","EQ","2026-09-01T02:15:00Z","2026-09-01T03:00:00Z","true","APPROVED","DEMO","SYNTHETIC","1000"
"SIM-S0009-Q-LPC_1p0","SIM-S0009","SIM-S0009-S","LPC_1p0","82.2942","count/mL","SIM-M-LPC_1p0","SIM-Q02","","600","EQ","2026-09-01T02:15:00Z","2026-09-01T03:00:00Z","true","APPROVED","DEMO","SYNTHETIC","80"
"SIM-S0009-Q-Zeta","SIM-S0009","SIM-S0009-S","Zeta","-39.411","mV","SIM-M-Zeta","SIM-Q02","-50","-30","EQ","2026-09-01T02:15:00Z","2026-09-01T03:00:00Z","true","APPROVED","DEMO","SYNTHETIC","-40"
"SIM-S0009-Q-Fe","SIM-S0009","SIM-S0009-S","Fe","0.2165","ug/kg","SIM-M-Fe","SIM-Q02","","1","EQ","2026-09-01T02:15:00Z","2026-09-01T03:00:00Z","true","APPROVED","DEMO","SYNTHETIC","0.3"
"SIM-S0010-Q-pH","SIM-S0010","SIM-S0010-S","pH","9.9767","pH","SIM-M-pH","SIM-Q02","9.5","10.5","EQ","2026-09-01T03:45:00Z","2026-09-01T04:30:00Z","true","APPROVED","DEMO","SYNTHETIC","10"
"SIM-S0010-Q-Solids","SIM-S0010","SIM-S0010-S","Solids","10.033","wt%","SIM-M-Solids","SIM-Q02","9.5","10.5","EQ","2026-09-01T03:45:00Z","2026-09-01T04:30:00Z","true","APPROVED","DEMO","SYNTHETIC","10"
"SIM-S0010-Q-Viscosity","SIM-S0010","SIM-S0010-S","Viscosity","1.7271","mPa.s","SIM-M-Viscosity","SIM-Q02","1.2","2.2","EQ","2026-09-01T03:45:00Z","2026-09-01T04:30:00Z","true","APPROVED","DEMO","SYNTHETIC","1.7"
"SIM-S0010-Q-D50","SIM-S0010","SIM-S0010-S","D50","86.8204","nm","SIM-M-D50","SIM-Q02","75","105","EQ","2026-09-01T03:45:00Z","2026-09-01T04:30:00Z","true","APPROVED","DEMO","SYNTHETIC","90"
"SIM-S0010-Q-D90","SIM-S0010","SIM-S0010-S","D90","130.0077","nm","SIM-M-D90","SIM-Q02","110","180","EQ","2026-09-01T03:45:00Z","2026-09-01T04:30:00Z","true","APPROVED","DEMO","SYNTHETIC","130"
"SIM-S0010-Q-LPC_0p5","SIM-S0010","SIM-S0010-S","LPC_0p5","856.6746","count/mL","SIM-M-LPC_0p5","SIM-Q02","","3000","EQ","2026-09-01T03:45:00Z","2026-09-01T04:30:00Z","true","APPROVED","DEMO","SYNTHETIC","1000"
"SIM-S0010-Q-LPC_1p0","SIM-S0010","SIM-S0010-S","LPC_1p0","83.172","count/mL","SIM-M-LPC_1p0","SIM-Q02","","600","EQ","2026-09-01T03:45:00Z","2026-09-01T04:30:00Z","true","APPROVED","DEMO","SYNTHETIC","80"
"SIM-S0010-Q-Zeta","SIM-S0010","SIM-S0010-S","Zeta","-40.6612","mV","SIM-M-Zeta","SIM-Q02","-50","-30","EQ","2026-09-01T03:45:00Z","2026-09-01T04:30:00Z","true","APPROVED","DEMO","SYNTHETIC","-40"
"SIM-S0010-Q-Fe","SIM-S0010","SIM-S0010-S","Fe","0.3119","ug/kg","SIM-M-Fe","SIM-Q02","","1","EQ","2026-09-01T03:45:00Z","2026-09-01T04:30:00Z","true","APPROVED","DEMO","SYNTHETIC","0.3"
"SIM-S0011-Q-pH","SIM-S0011","SIM-S0011-S","pH","10.0237","pH","SIM-M-pH","SIM-Q02","9.5","10.5","EQ","2026-09-01T03:45:00Z","2026-09-01T04:30:00Z","true","APPROVED","DEMO","SYNTHETIC","10"
"SIM-S0011-Q-Solids","SIM-S0011","SIM-S0011-S","Solids","10.0152","wt%","SIM-M-Solids","SIM-Q02","9.5","10.5","EQ","2026-09-01T03:45:00Z","2026-09-01T04:30:00Z","true","APPROVED","DEMO","SYNTHETIC","10"
"SIM-S0011-Q-Viscosity","SIM-S0011","SIM-S0011-S","Viscosity","1.7837","mPa.s","SIM-M-Viscosity","SIM-Q02","1.2","2.2","EQ","2026-09-01T03:45:00Z","2026-09-01T04:30:00Z","true","APPROVED","DEMO","SYNTHETIC","1.7"
"SIM-S0011-Q-D50","SIM-S0011","SIM-S0011-S","D50","89.9313","nm","SIM-M-D50","SIM-Q02","75","105","EQ","2026-09-01T03:45:00Z","2026-09-01T04:30:00Z","true","APPROVED","DEMO","SYNTHETIC","90"
"SIM-S0011-Q-D90","SIM-S0011","SIM-S0011-S","D90","126.9421","nm","SIM-M-D90","SIM-Q02","110","180","EQ","2026-09-01T03:45:00Z","2026-09-01T04:30:00Z","true","APPROVED","DEMO","SYNTHETIC","130"
"SIM-S0011-Q-LPC_0p5","SIM-S0011","SIM-S0011-S","LPC_0p5","659.5816","count/mL","SIM-M-LPC_0p5","SIM-Q02","","3000","EQ","2026-09-01T03:45:00Z","2026-09-01T04:30:00Z","true","APPROVED","DEMO","SYNTHETIC","1000"
"SIM-S0011-Q-LPC_1p0","SIM-S0011","SIM-S0011-S","LPC_1p0","67.6245","count/mL","SIM-M-LPC_1p0","SIM-Q02","","600","EQ","2026-09-01T03:45:00Z","2026-09-01T04:30:00Z","true","APPROVED","DEMO","SYNTHETIC","80"
"SIM-S0011-Q-Zeta","SIM-S0011","SIM-S0011-S","Zeta","-39.1544","mV","SIM-M-Zeta","SIM-Q02","-50","-30","EQ","2026-09-01T03:45:00Z","2026-09-01T04:30:00Z","true","APPROVED","DEMO","SYNTHETIC","-40"
"SIM-S0011-Q-Fe","SIM-S0011","SIM-S0011-S","Fe","0.3171","ug/kg","SIM-M-Fe","SIM-Q02","","1","EQ","2026-09-01T03:45:00Z","2026-09-01T04:30:00Z","true","APPROVED","DEMO","SYNTHETIC","0.3"
"SIM-S0012-Q-pH","SIM-S0012","SIM-S0012-S","pH","10.0957","pH","SIM-M-pH","SIM-Q02","9.5","10.5","EQ","2026-09-01T03:45:00Z","2026-09-01T04:30:00Z","true","APPROVED","DEMO","SYNTHETIC","10"
"SIM-S0012-Q-Solids","SIM-S0012","SIM-S0012-S","Solids","9.9341","wt%","SIM-M-Solids","SIM-Q02","9.5","10.5","EQ","2026-09-01T03:45:00Z","2026-09-01T04:30:00Z","true","APPROVED","DEMO","SYNTHETIC","10"
"SIM-S0012-Q-Viscosity","SIM-S0012","SIM-S0012-S","Viscosity","1.7405","mPa.s","SIM-M-Viscosity","SIM-Q02","1.2","2.2","EQ","2026-09-01T03:45:00Z","2026-09-01T04:30:00Z","true","APPROVED","DEMO","SYNTHETIC","1.7"
"SIM-S0012-Q-D50","SIM-S0012","SIM-S0012-S","D50","90.2808","nm","SIM-M-D50","SIM-Q02","75","105","EQ","2026-09-01T03:45:00Z","2026-09-01T04:30:00Z","true","APPROVED","DEMO","SYNTHETIC","90"
