"Material_Record_ID","Batch_ID","Material_ID","Lot_ID","Quantity","Unit","Charge_TS","Data_Origin"
"SIM-S0025-M1","SIM-S0025","SILICA","SILICA-LOT-5","100","kg","2026-09-01T10:05:00Z","SYNTHETIC"
"SIM-S0025-M2","SIM-S0025","ADDITIVE","ADDITIVE-LOT-5","10","kg","2026-09-01T10:05:00Z","SYNTHETIC"
"SIM-S0025-M3","SIM-S0025","DIW","DIW-LOT-5","890","kg","2026-09-01T10:05:00Z","SYNTHETIC"
"SIM-S0026-M1","SIM-S0026","SILICA","SILICA-LOT-5","100","kg","2026-09-01T10:05:00Z","SYNTHETIC"
"SIM-S0026-M2","SIM-S0026","ADDITIVE","ADDITIVE-LOT-5","10","kg","2026-09-01T10:05:00Z","SYNTHETIC"
"SIM-S0026-M3","SIM-S0026","DIW","DIW-LOT-5","890","kg","2026-09-01T10:05:00Z","SYNTHETIC"
"SIM-S0027-M1","SIM-S0027","SILICA","SILICA-LOT-5","100","kg","2026-09-01T10:05:00Z","SYNTHETIC"
"SIM-S0027-M2","SIM-S0027","ADDITIVE","ADDITIVE-LOT-5","10","kg","2026-09-01T10:05:00Z","SYNTHETIC"
"SIM-S0027-M3","SIM-S0027","DIW","DIW-LOT-5","890","kg","2026-09-01T10:05:00Z","SYNTHETIC"
"SIM-S0028-M1","SIM-S0028","SILICA","SILICA-LOT-5","100","kg","2026-09-01T11:35:00Z","SYNTHETIC"
"SIM-S0028-M2","SIM-S0028","ADDITIVE","ADDITIVE-LOT-5","10","kg","2026-09-01T11:35:00Z","SYNTHETIC"
"SIM-S0028-M3","SIM-S0028","DIW","DIW-LOT-5","890","kg","2026-09-01T11:35:00Z","SYNTHETIC"
"SIM-S0029-M1","SIM-S0029","SILICA","SILICA-LOT-5","100","kg","2026-09-01T11:35:00Z","SYNTHETIC"
"SIM-S0029-M2","SIM-S0029","ADDITIVE","ADDITIVE-LOT-5","10","kg","2026-09-01T11:35:00Z","SYNTHETIC"
"SIM-S0029-M3","SIM-S0029","DIW","DIW-LOT-5","890","kg","2026-09-01T11:35:00Z","SYNTHETIC"
"SIM-S0030-M1","SIM-S0030","SILICA","SILICA-LOT-5","100","kg","2026-09-01T11:35:00Z","SYNTHETIC"
"SIM-S0030-M2","SIM-S0030","ADDITIVE","ADDITIVE-LOT-5","10","kg","2026-09-01T11:35:00Z","SYNTHETIC"
"SIM-S0030-M3","SIM-S0030","DIW","DIW-LOT-5","890","kg","2026-09-01T11:35:00Z","SYNTHETIC"
"SIM-S0031-M1","SIM-S0031","SILICA","SILICA-LOT-6","100","kg","2026-09-01T13:05:00Z","SYNTHETIC"
"SIM-S0031-M2","SIM-S0031","ADDITIVE","ADDITIVE-LOT-6","10","kg","2026-09-01T13:05:00Z","SYNTHETIC"
"SIM-S0031-M3","SIM-S0031","DIW","DIW-LOT-6","890","kg","2026-09-01T13:05:00Z","SYNTHETIC"
"SIM-S0032-M1","SIM-S0032","SILICA","SILICA-LOT-6","100","kg","2026-09-01T13:05:00Z","SYNTHETIC"
"SIM-S0032-M2","SIM-S0032","ADDITIVE","ADDITIVE-LOT-6","10","kg","2026-09-01T13:05:00Z","SYNTHETIC"
"SIM-S0032-M3","SIM-S0032","DIW","DIW-LOT-6","890","kg","2026-09-01T13:05:00Z","SYNTHETIC"
"SIM-S0033-M1","SIM-S0033","SILICA","SILICA-LOT-6","100","kg","2026-09-01T13:05:00Z","SYNTHETIC"
"SIM-S0033-M2","SIM-S0033","ADDITIVE","ADDITIVE-LOT-6","10","kg","2026-09-01T13:05:00Z","SYNTHETIC"
"SIM-S0033-M3","SIM-S0033","DIW","DIW-LOT-6","890","kg","2026-09-01T13:05:00Z","SYNTHETIC"
"SIM-S0034-M1","SIM-S0034","SILICA","SILICA-LOT-6","100","kg","2026-09-01T14:35:00Z","SYNTHETIC"
"SIM-S0034-M2","SIM-S0034","ADDITIVE","ADDITIVE-LOT-6","10","kg","2026-09-01T14:35:00Z","SYNTHETIC"
"SIM-S0034-M3","SIM-S0034","DIW","DIW-LOT-6","890","kg","2026-09-01T14:35:00Z","SYNTHETIC"
"SIM-S0035-M1","SIM-S0035","SILICA","SILICA-LOT-6","100","kg","2026-09-01T14:35:00Z","SYNTHETIC"
"SIM-S0035-M2","SIM-S0035","ADDITIVE","ADDITIVE-LOT-6","10","kg","2026-09-01T14:35:00Z","SYNTHETIC"
"SIM-S0035-M3","SIM-S0035","DIW","DIW-LOT-6","890","kg","2026-09-01T14:35:00Z","SYNTHETIC"
"SIM-S0036-M1","SIM-S0036","SILICA","SILICA-LOT-6","100","kg","2026-09-01T14:35:00Z","SYNTHETIC"
"SIM-S0036-M2","SIM-S0036","ADDITIVE","ADDITIVE-LOT-6","10","kg","2026-09-01T14:35:00Z","SYNTHETIC"
"SIM-S0036-M3","SIM-S0036","DIW","DIW-LOT-6","890","kg","2026-09-01T14:35:00Z","SYNTHETIC"
"SIM-S0037-M1","SIM-S0037","SILICA","SILICA-LOT-7","100","kg","2026-09-01T16:05:00Z","SYNTHETIC"
"SIM-S0037-M2","SIM-S0037","ADDITIVE","ADDITIVE-LOT-7","10","kg","2026-09-01T16:05:00Z","SYNTHETIC"
"SIM-S0037-M3","SIM-S0037","DIW","DIW-LOT-7","890","kg","2026-09-01T16:05:00Z","SYNTHETIC"
"SIM-S0038-M1","SIM-S0038","SILICA","SILICA-LOT-7","100","kg","2026-09-01T16:05:00Z","SYNTHETIC"
"SIM-S0038-M2","SIM-S0038","ADDITIVE","ADDITIVE-LOT-7","10","kg","2026-09-01T16:05:00Z","SYNTHETIC"
"SIM-S0038-M3","SIM-S0038","DIW","DIW-LOT-7","890","kg","2026-09-01T16:05:00Z","SYNTHETIC"
"SIM-S0039-M1","SIM-S0039","SILICA","SILICA-LOT-7","100","kg","2026-09-01T16:05:00Z","SYNTHETIC"
"SIM-S0039-M2","SIM-S0039","ADDITIVE","ADDITIVE-LOT-7","10","kg","2026-09-01T16:05:00Z","SYNTHETIC"
"SIM-S0039-M3","SIM-S0039","DIW","DIW-LOT-7","890","kg","2026-09-01T16:05:00Z","SYNTHETIC"
"SIM-S0040-M1","SIM-S0040","SILICA","SILICA-LOT-7","100","kg","2026-09-01T17:35:00Z","SYNTHETIC"
"SIM-S0040-M2","SIM-S0040","ADDITIVE","ADDITIVE-LOT-7","10","kg","2026-09-01T17:35:00Z","SYNTHETIC"
"SIM-S0040-M3","SIM-S0040","DIW","DIW-LOT-7","890","kg","2026-09-01T17:35:00Z","SYNTHETIC"
"SIM-S0041-M1","SIM-S0041","SILICA","SILICA-LOT-7","100","kg","2026-09-01T17:35:00Z","SYNTHETIC"
"SIM-S0041-M2","SIM-S0041","ADDITIVE","ADDITIVE-LOT-7","10","kg","2026-09-01T17:35:00Z","SYNTHETIC"
"SIM-S0041-M3","SIM-S0041","DIW","DIW-LOT-7","890","kg","2026-09-01T17:35:00Z","SYNTHETIC"
"SIM-S0042-M1","SIM-S0042","SILICA","SILICA-LOT-7","100","kg","2026-09-01T17:35:00Z","SYNTHETIC"
"SIM-S0042-M2","SIM-S0042","ADDITIVE","ADDITIVE-LOT-7","10","kg","2026-09-01T17:35:00Z","SYNTHETIC"
"SIM-S0042-M3","SIM-S0042","DIW","DIW-LOT-7","890","kg","2026-09-01T17:35:00Z","SYNTHETIC"
"SIM-S0043-M1","SIM-S0043","SILICA","SILICA-LOT-8","100","kg","2026-09-01T19:05:00Z","SYNTHETIC"
"SIM-S0043-M2","SIM-S0043","ADDITIVE","ADDITIVE-LOT-8","10","kg","2026-09-01T19:05:00Z","SYNTHETIC"
"SIM-S0043-M3","SIM-S0043","DIW","DIW-LOT-8","890","kg","2026-09-01T19:05:00Z","SYNTHETIC"
"SIM-S0044-M1","SIM-S0044","SILICA","SILICA-LOT-8","100","kg","2026-09-01T19:05:00Z","SYNTHETIC"
"SIM-S0044-M2","SIM-S0044","ADDITIVE","ADDITIVE-LOT-8","10","kg","2026-09-01T19:05:00Z","SYNTHETIC"
"SIM-S0044-M3","SIM-S0044","DIW","DIW-LOT-8","890","kg","2026-09-01T19:05:00Z","SYNTHETIC"
"SIM-S0045-M1","SIM-S0045","SILICA","SILICA-LOT-8","100","kg","2026-09-01T19:05:00Z","SYNTHETIC"
"SIM-S0045-M2","SIM-S0045","ADDITIVE","ADDITIVE-LOT-8","10","kg","2026-09-01T19:05:00Z","SYNTHETIC"
"SIM-S0045-M3","SIM-S0045","DIW","DIW-LOT-8","890","kg","2026-09-01T19:05:00Z","SYNTHETIC"
"SIM-S0046-M1","SIM-S0046","SILICA","SILICA-LOT-8","100","kg","2026-09-01T20:35:00Z","SYNTHETIC"
"SIM-S0046-M2","SIM-S0046","ADDITIVE","ADDITIVE-LOT-8","10","kg","2026-09-01T20:35:00Z","SYNTHETIC"
"SIM-S0046-M3","SIM-S0046","DIW","DIW-LOT-8","890","kg","2026-09-01T20:35:00Z","SYNTHETIC"
"SIM-S0047-M1","SIM-S0047","SILICA","SILICA-LOT-8","100","kg","2026-09-01T20:35:00Z","SYNTHETIC"
"SIM-S0047-M2","SIM-S0047","ADDITIVE","ADDITIVE-LOT-8","10","kg","2026-09-01T20:35:00Z","SYNTHETIC"
"SIM-S0047-M3","SIM-S0047","DIW","DIW-LOT-8","890","kg","2026-09-01T20:35:00Z","SYNTHETIC"
"SIM-S0048-M1","SIM-S0048","SILICA","SILICA-LOT-8","100","kg","2026-09-01T20:35:00Z","SYNTHETIC"
"SIM-S0048-M2","SIM-S0048","ADDITIVE","ADDITIVE-LOT-8","10","kg","2026-09-01T20:35:00Z","SYNTHETIC"
"SIM-S0048-M3","SIM-S0048","DIW","DIW-LOT-8","890","kg","2026-09-01T20:35:00Z","SYNTHETIC"
"SIM-S0049-M1","SIM-S0049","SILICA","SILICA-LOT-9","100","kg","2026-09-01T22:05:00Z","SYNTHETIC"
"SIM-S0049-M2","SIM-S0049","ADDITIVE","ADDITIVE-LOT-9","10","kg","2026-09-01T22:05:00Z","SYNTHETIC"
"SIM-S0049-M3","SIM-S0049","DIW","DIW-LOT-9","890","kg","2026-09-01T22:05:00Z","SYNTHETIC"
"SIM-S0050-M1","SIM-S0050","SILICA","SILICA-LOT-9","100","kg","2026-09-01T22:05:00Z","SYNTHETIC"
"SIM-S0050-M2","SIM-S0050","ADDITIVE","ADDITIVE-LOT-9","10","kg","2026-09-01T22:05:00Z","SYNTHETIC"
"SIM-S0050-M3","SIM-S0050","DIW","DIW-LOT-9","890","kg","2026-09-01T22:05:00Z","SYNTHETIC"
"SIM-S0051-M1","SIM-S0051","SILICA","SILICA-LOT-9","100","kg","2026-09-01T22:05:00Z","SYNTHETIC"
"SIM-S0051-M2","SIM-S0051","ADDITIVE","ADDITIVE-LOT-9","10","kg","2026-09-01T22:05:00Z","SYNTHETIC"
"SIM-S0051-M3","SIM-S0051","DIW","DIW-LOT-9","890","kg","2026-09-01T22:05:00Z","SYNTHETIC"
"SIM-S0052-M1","SIM-S0052","SILICA","SILICA-LOT-9","100","kg","2026-09-01T23:35:00Z","SYNTHETIC"
"SIM-S0052-M2","SIM-S0052","ADDITIVE","ADDITIVE-LOT-9","10","kg","2026-09-01T23:35:00Z","SYNTHETIC"
"SIM-S0052-M3","SIM-S0052","DIW","DIW-LOT-9","890","kg","2026-09-01T23:35:00Z","SYNTHETIC"
"SIM-S0053-M1","SIM-S0053","SILICA","SILICA-LOT-9","100","kg","2026-09-01T23:35:00Z","SYNTHETIC"
"SIM-S0053-M2","SIM-S0053","ADDITIVE","ADDITIVE-LOT-9","10","kg","2026-09-01T23:35:00Z","SYNTHETIC"
"SIM-S0053-M3","SIM-S0053","DIW","DIW-LOT-9","890","kg","2026-09-01T23:35:00Z","SYNTHETIC"
"SIM-S0054-M1","SIM-S0054","SILICA","SILICA-LOT-9","100","kg","2026-09-01T23:35:00Z","SYNTHETIC"
"SIM-S0054-M2","SIM-S0054","ADDITIVE","ADDITIVE-LOT-9","10","kg","2026-09-01T23:35:00Z","SYNTHETIC"
"SIM-S0054-M3","SIM-S0054","DIW","DIW-LOT-9","890","kg","2026-09-01T23:35:00Z","SYNTHETIC"
"SIM-S0055-M1","SIM-S0055","SILICA","SILICA-LOT-10","100","kg","2026-09-02T01:05:00Z","SYNTHETIC"
"SIM-S0055-M2","SIM-S0055","ADDITIVE","ADDITIVE-LOT-10","10","kg","2026-09-02T01:05:00Z","SYNTHETIC"
"SIM-S0055-M3","SIM-S0055","DIW","DIW-LOT-10","890","kg","2026-09-02T01:05:00Z","SYNTHETIC"
"SIM-S0056-M1","SIM-S0056","SILICA","SILICA-LOT-10","100","kg","2026-09-02T01:05:00Z","SYNTHETIC"
"SIM-S0056-M2","SIM-S0056","ADDITIVE","ADDITIVE-LOT-10","10","kg","2026-09-02T01:05:00Z","SYNTHETIC"
"SIM-S0056-M3","SIM-S0056","DIW","DIW-LOT-10","890","kg","2026-09-02T01:05:00Z","SYNTHETIC"
"SIM-S0057-M1","SIM-S0057","SILICA","SILICA-LOT-10","100","kg","2026-09-02T01:05:00Z","SYNTHETIC"
"SIM-S0057-M2","SIM-S0057","ADDITIVE","ADDITIVE-LOT-10","10","kg","2026-09-02T01:05:00Z","SYNTHETIC"
"SIM-S0057-M3","SIM-S0057","DIW","DIW-LOT-10","890","kg","2026-09-02T01:05:00Z","SYNTHETIC"
"SIM-S0058-M1","SIM-S0058","SILICA","SILICA-LOT-10","100","kg","2026-09-02T02:35:00Z","SYNTHETIC"
"SIM-S0058-M2","SIM-S0058","ADDITIVE","ADDITIVE-LOT-10","10","kg","2026-09-02T02:35:00Z","SYNTHETIC"
"SIM-S0058-M3","SIM-S0058","DIW","DIW-LOT-10","890","kg","2026-09-02T02:35:00Z","SYNTHETIC"
"SIM-S0059-M1","SIM-S0059","SILICA","SILICA-LOT-10","100","kg","2026-09-02T02:35:00Z","SYNTHETIC"
"SIM-S0059-M2","SIM-S0059","ADDITIVE","ADDITIVE-LOT-10","10","kg","2026-09-02T02:35:00Z","SYNTHETIC"
"SIM-S0059-M3","SIM-S0059","DIW","DIW-LOT-10","890","kg","2026-09-02T02:35:00Z","SYNTHETIC"
"SIM-S0060-M1","SIM-S0060","SILICA","SILICA-LOT-10","100","kg","2026-09-02T02:35:00Z","SYNTHETIC"
"SIM-S0060-M2","SIM-S0060","ADDITIVE","ADDITIVE-LOT-10","10","kg","2026-09-02T02:35:00Z","SYNTHETIC"
"SIM-S0060-M3","SIM-S0060","DIW","DIW-LOT-10","890","kg","2026-09-02T02:35:00Z","SYNTHETIC"
"SIM-S0061-M1","SIM-S0061","SILICA","SILICA-LOT-11","100","kg","2026-09-02T04:05:00Z","SYNTHETIC"
"SIM-S0061-M2","SIM-S0061","ADDITIVE","ADDITIVE-LOT-11","10","kg","2026-09-02T04:05:00Z","SYNTHETIC"
"SIM-S0061-M3","SIM-S0061","DIW","DIW-LOT-11","890","kg","2026-09-02T04:05:00Z","SYNTHETIC"
"SIM-S0062-M1","SIM-S0062","SILICA","SILICA-LOT-11","100","kg","2026-09-02T04:05:00Z","SYNTHETIC"
"SIM-S0062-M2","SIM-S0062","ADDITIVE","ADDITIVE-LOT-11","10","kg","2026-09-02T04:05:00Z","SYNTHETIC"
"SIM-S0062-M3","SIM-S0062","DIW","DIW-LOT-11","890","kg","2026-09-02T04:05:00Z","SYNTHETIC"
"SIM-S0063-M1","SIM-S0063","SILICA","SILICA-LOT-11","100","kg","2026-09-02T04:05:00Z","SYNTHETIC"
"SIM-S0063-M2","SIM-S0063","ADDITIVE","ADDITIVE-LOT-11","10","kg","2026-09-02T04:05:00Z","SYNTHETIC"
"SIM-S0063-M3","SIM-S0063","DIW","DIW-LOT-11","890","kg","2026-09-02T04:05:00Z","SYNTHETIC"
"SIM-S0064-M1","SIM-S0064","SILICA","SILICA-LOT-11","100","kg","2026-09-02T05:35:00Z","SYNTHETIC"
"SIM-S0064-M2","SIM-S0064","ADDITIVE","ADDITIVE-LOT-11","10","kg","2026-09-02T05:35:00Z","SYNTHETIC"
"SIM-S0064-M3","SIM-S0064","DIW","DIW-LOT-11","890","kg","2026-09-02T05:35:00Z","SYNTHETIC"
"SIM-S0065-M1","SIM-S0065","SILICA","SILICA-LOT-11","100","kg","2026-09-02T05:35:00Z","SYNTHETIC"
"SIM-S0065-M2","SIM-S0065","ADDITIVE","ADDITIVE-LOT-11","10","kg","2026-09-02T05:35:00Z","SYNTHETIC"
"SIM-S0065-M3","SIM-S0065","DIW","DIW-LOT-11","890","kg","2026-09-02T05:35:00Z","SYNTHETIC"
"SIM-S0066-M1","SIM-S0066","SILICA","SILICA-LOT-11","100","kg","2026-09-02T05:35:00Z","SYNTHETIC"
"SIM-S0066-M2","SIM-S0066","ADDITIVE","ADDITIVE-LOT-11","10","kg","2026-09-02T05:35:00Z","SYNTHETIC"
"SIM-S0066-M3","SIM-S0066","DIW","DIW-LOT-11","890","kg","2026-09-02T05:35:00Z","SYNTHETIC"
"SIM-S0067-M1","SIM-S0067","SILICA","SILICA-LOT-12","100","kg","2026-09-02T07:05:00Z","SYNTHETIC"
"SIM-S0067-M2","SIM-S0067","ADDITIVE","ADDITIVE-LOT-12","10","kg","2026-09-02T07:05:00Z","SYNTHETIC"
"SIM-S0067-M3","SIM-S0067","DIW","DIW-LOT-12","890","kg","2026-09-02T07:05:00Z","SYNTHETIC"
"SIM-S0068-M1","SIM-S0068","SILICA","SILICA-LOT-12","100","kg","2026-09-02T07:05:00Z","SYNTHETIC"
"SIM-S0068-M2","SIM-S0068","ADDITIVE","ADDITIVE-LOT-12","10","kg","2026-09-02T07:05:00Z","SYNTHETIC"
"SIM-S0068-M3","SIM-S0068","DIW","DIW-LOT-12","890","kg","2026-09-02T07:05:00Z","SYNTHETIC"
"SIM-S0069-M1","SIM-S0069","SILICA","SILICA-LOT-12","100","kg","2026-09-02T07:05:00Z","SYNTHETIC"
"SIM-S0069-M2","SIM-S0069","ADDITIVE","ADDITIVE-LOT-12","10","kg","2026-09-02T07:05:00Z","SYNTHETIC"
