"Batch_ID","Product_ID","Recipe_Rev","Site_ID","Line_ID","Equipment_ID","Start_TS","End_TS","Disposition","Data_Origin","Reference_Eligible"
"SIM-S0024","SIM-OX-02","SIM-R02","SITE-01","LINE-3","MIX-3","2026-09-01T08:30:00Z","2026-09-01T09:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0025","SIM-OX-02","SIM-R02","SITE-01","LINE-1","MIX-1","2026-09-01T10:00:00Z","2026-09-01T11:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0026","SIM-OX-02","SIM-R02","SITE-01","LINE-2","MIX-2","2026-09-01T10:00:00Z","2026-09-01T11:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0027","SIM-OX-02","SIM-R02","SITE-01","LINE-3","MIX-3","2026-09-01T10:00:00Z","2026-09-01T11:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0028","SIM-OX-02","SIM-R02","SITE-01","LINE-1","MIX-1","2026-09-01T11:30:00Z","2026-09-01T12:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0029","SIM-OX-02","SIM-R02","SITE-01","LINE-2","MIX-2","2026-09-01T11:30:00Z","2026-09-01T12:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0030","SIM-OX-02","SIM-R02","SITE-01","LINE-3","MIX-3","2026-09-01T11:30:00Z","2026-09-01T12:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0031","SIM-OX-02","SIM-R02","SITE-01","LINE-1","MIX-1","2026-09-01T13:00:00Z","2026-09-01T14:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0032","SIM-OX-02","SIM-R02","SITE-01","LINE-2","MIX-2","2026-09-01T13:00:00Z","2026-09-01T14:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0033","SIM-OX-02","SIM-R02","SITE-01","LINE-3","MIX-3","2026-09-01T13:00:00Z","2026-09-01T14:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0034","SIM-OX-02","SIM-R02","SITE-01","LINE-1","MIX-1","2026-09-01T14:30:00Z","2026-09-01T15:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0035","SIM-OX-02","SIM-R02","SITE-01","LINE-2","MIX-2","2026-09-01T14:30:00Z","2026-09-01T15:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0036","SIM-OX-02","SIM-R02","SITE-01","LINE-3","MIX-3","2026-09-01T14:30:00Z","2026-09-01T15:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0037","SIM-OX-02","SIM-R02","SITE-01","LINE-1","MIX-1","2026-09-01T16:00:00Z","2026-09-01T17:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0038","SIM-OX-02","SIM-R02","SITE-01","LINE-2","MIX-2","2026-09-01T16:00:00Z","2026-09-01T17:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0039","SIM-OX-02","SIM-R02","SITE-01","LINE-3","MIX-3","2026-09-01T16:00:00Z","2026-09-01T17:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0040","SIM-OX-02","SIM-R02","SITE-01","LINE-1","MIX-1","2026-09-01T17:30:00Z","2026-09-01T18:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0041","SIM-OX-02","SIM-R02","SITE-01","LINE-2","MIX-2","2026-09-01T17:30:00Z","2026-09-01T18:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0042","SIM-OX-02","SIM-R02","SITE-01","LINE-3","MIX-3","2026-09-01T17:30:00Z","2026-09-01T18:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0043","SIM-OX-02","SIM-R02","SITE-01","LINE-1","MIX-1","2026-09-01T19:00:00Z","2026-09-01T20:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0044","SIM-OX-02","SIM-R02","SITE-01","LINE-2","MIX-2","2026-09-01T19:00:00Z","2026-09-01T20:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0045","SIM-OX-02","SIM-R02","SITE-01","LINE-3","MIX-3","2026-09-01T19:00:00Z","2026-09-01T20:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0046","SIM-OX-02","SIM-R02","SITE-01","LINE-1","MIX-1","2026-09-01T20:30:00Z","2026-09-01T21:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0047","SIM-OX-02","SIM-R02","SITE-01","LINE-2","MIX-2","2026-09-01T20:30:00Z","2026-09-01T21:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0048","SIM-OX-02","SIM-R02","SITE-01","LINE-3","MIX-3","2026-09-01T20:30:00Z","2026-09-01T21:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0049","SIM-OX-02","SIM-R02","SITE-01","LINE-1","MIX-1","2026-09-01T22:00:00Z","2026-09-01T23:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0050","SIM-OX-02","SIM-R02","SITE-01","LINE-2","MIX-2","2026-09-01T22:00:00Z","2026-09-01T23:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0051","SIM-OX-02","SIM-R02","SITE-01","LINE-3","MIX-3","2026-09-01T22:00:00Z","2026-09-01T23:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0052","SIM-OX-02","SIM-R02","SITE-01","LINE-1","MIX-1","2026-09-01T23:30:00Z","2026-09-02T00:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0053","SIM-OX-02","SIM-R02","SITE-01","LINE-2","MIX-2","2026-09-01T23:30:00Z","2026-09-02T00:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0054","SIM-OX-02","SIM-R02","SITE-01","LINE-3","MIX-3","2026-09-01T23:30:00Z","2026-09-02T00:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0055","SIM-OX-02","SIM-R02","SITE-01","LINE-1","MIX-1","2026-09-02T01:00:00Z","2026-09-02T02:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0056","SIM-OX-02","SIM-R02","SITE-01","LINE-2","MIX-2","2026-09-02T01:00:00Z","2026-09-02T02:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0057","SIM-OX-02","SIM-R02","SITE-01","LINE-3","MIX-3","2026-09-02T01:00:00Z","2026-09-02T02:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0058","SIM-OX-02","SIM-R02","SITE-01","LINE-1","MIX-1","2026-09-02T02:30:00Z","2026-09-02T03:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0059","SIM-OX-02","SIM-R02","SITE-01","LINE-2","MIX-2","2026-09-02T02:30:00Z","2026-09-02T03:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0060","SIM-OX-02","SIM-R02","SITE-01","LINE-3","MIX-3","2026-09-02T02:30:00Z","2026-09-02T03:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0061","SIM-OX-02","SIM-R02","SITE-01","LINE-1","MIX-1","2026-09-02T04:00:00Z","2026-09-02T05:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0062","SIM-OX-02","SIM-R02","SITE-01","LINE-2","MIX-2","2026-09-02T04:00:00Z","2026-09-02T05:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0063","SIM-OX-02","SIM-R02","SITE-01","LINE-3","MIX-3","2026-09-02T04:00:00Z","2026-09-02T05:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0064","SIM-OX-02","SIM-R02","SITE-01","LINE-1","MIX-1","2026-09-02T05:30:00Z","2026-09-02T06:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0065","SIM-OX-02","SIM-R02","SITE-01","LINE-2","MIX-2","2026-09-02T05:30:00Z","2026-09-02T06:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0066","SIM-OX-02","SIM-R02","SITE-01","LINE-3","MIX-3","2026-09-02T05:30:00Z","2026-09-02T06:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0067","SIM-OX-02","SIM-R02","SITE-01","LINE-1","MIX-1","2026-09-02T07:00:00Z","2026-09-02T08:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0068","SIM-OX-02","SIM-R02","SITE-01","LINE-2","MIX-2","2026-09-02T07:00:00Z","2026-09-02T08:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0069","SIM-OX-02","SIM-R02","SITE-01","LINE-3","MIX-3","2026-09-02T07:00:00Z","2026-09-02T08:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0070","SIM-OX-02","SIM-R02","SITE-01","LINE-1","MIX-1","2026-09-02T08:30:00Z","2026-09-02T09:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0071","SIM-OX-02","SIM-R02","SITE-01","LINE-2","MIX-2","2026-09-02T08:30:00Z","2026-09-02T09:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0072","SIM-OX-02","SIM-R02","SITE-01","LINE-3","MIX-3","2026-09-02T08:30:00Z","2026-09-02T09:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0073","SIM-OX-02","SIM-R02","SITE-01","LINE-1","MIX-1","2026-09-02T10:00:00Z","2026-09-02T11:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0074","SIM-OX-02","SIM-R02","SITE-01","LINE-2","MIX-2","2026-09-02T10:00:00Z","2026-09-02T11:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0075","SIM-OX-02","SIM-R02","SITE-01","LINE-3","MIX-3","2026-09-02T10:00:00Z","2026-09-02T11:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0076","SIM-OX-02","SIM-R02","SITE-01","LINE-1","MIX-1","2026-09-02T11:30:00Z","2026-09-02T12:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0077","SIM-OX-02","SIM-R02","SITE-01","LINE-2","MIX-2","2026-09-02T11:30:00Z","2026-09-02T12:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0078","SIM-OX-02","SIM-R02","SITE-01","LINE-3","MIX-3","2026-09-02T11:30:00Z","2026-09-02T12:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0079","SIM-OX-02","SIM-R02","SITE-01","LINE-1","MIX-1","2026-09-02T13:00:00Z","2026-09-02T14:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0080","SIM-OX-02","SIM-R02","SITE-01","LINE-2","MIX-2","2026-09-02T13:00:00Z","2026-09-02T14:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0081","SIM-OX-02","SIM-R02","SITE-01","LINE-3","MIX-3","2026-09-02T13:00:00Z","2026-09-02T14:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0082","SIM-OX-02","SIM-R02","SITE-01","LINE-1","MIX-1","2026-09-02T14:30:00Z","2026-09-02T15:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0083","SIM-OX-02","SIM-R02","SITE-01","LINE-2","MIX-2","2026-09-02T14:30:00Z","2026-09-02T15:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0084","SIM-OX-02","SIM-R02","SITE-01","LINE-3","MIX-3","2026-09-02T14:30:00Z","2026-09-02T15:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0085","SIM-OX-02","SIM-R02","SITE-01","LINE-1","MIX-1","2026-09-02T16:00:00Z","2026-09-02T17:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0086","SIM-OX-02","SIM-R02","SITE-01","LINE-2","MIX-2","2026-09-02T16:00:00Z","2026-09-02T17:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0087","SIM-OX-02","SIM-R02","SITE-01","LINE-3","MIX-3","2026-09-02T16:00:00Z","2026-09-02T17:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0088","SIM-OX-02","SIM-R02","SITE-01","LINE-1","MIX-1","2026-09-02T17:30:00Z","2026-09-02T18:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0089","SIM-OX-02","SIM-R02","SITE-01","LINE-2","MIX-2","2026-09-02T17:30:00Z","2026-09-02T18:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0090","SIM-OX-02","SIM-R02","SITE-01","LINE-3","MIX-3","2026-09-02T17:30:00Z","2026-09-02T18:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0091","SIM-OX-02","SIM-R02","SITE-01","LINE-1","MIX-1","2026-09-02T19:00:00Z","2026-09-02T20:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0092","SIM-OX-02","SIM-R02","SITE-01","LINE-2","MIX-2","2026-09-02T19:00:00Z","2026-09-02T20:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0093","SIM-OX-02","SIM-R02","SITE-01","LINE-3","MIX-3","2026-09-02T19:00:00Z","2026-09-02T20:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0094","SIM-OX-02","SIM-R02","SITE-01","LINE-1","MIX-1","2026-09-02T20:30:00Z","2026-09-02T21:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0095","SIM-OX-02","SIM-R02","SITE-01","LINE-2","MIX-2","2026-09-02T20:30:00Z","2026-09-02T21:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0096","SIM-OX-02","SIM-R02","SITE-01","LINE-3","MIX-3","2026-09-02T20:30:00Z","2026-09-02T21:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0097","SIM-OX-02","SIM-R02","SITE-01","LINE-1","MIX-1","2026-09-02T22:00:00Z","2026-09-02T23:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0098","SIM-OX-02","SIM-R02","SITE-01","LINE-2","MIX-2","2026-09-02T22:00:00Z","2026-09-02T23:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0099","SIM-OX-02","SIM-R02","SITE-01","LINE-3","MIX-3","2026-09-02T22:00:00Z","2026-09-02T23:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0100","SIM-OX-02","SIM-R02","SITE-01","LINE-1","MIX-1","2026-09-02T23:30:00Z","2026-09-03T00:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0101","SIM-OX-02","SIM-R02","SITE-01","LINE-2","MIX-2","2026-09-02T23:30:00Z","2026-09-03T00:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0102","SIM-OX-02","SIM-R02","SITE-01","LINE-3","MIX-3","2026-09-02T23:30:00Z","2026-09-03T00:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0103","SIM-OX-02","SIM-R02","SITE-01","LINE-1","MIX-1","2026-09-03T01:00:00Z","2026-09-03T02:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0104","SIM-OX-02","SIM-R02","SITE-01","LINE-2","MIX-2","2026-09-03T01:00:00Z","2026-09-03T02:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0105","SIM-OX-02","SIM-R02","SITE-01","LINE-3","MIX-3","2026-09-03T01:00:00Z","2026-09-03T02:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0106","SIM-OX-02","SIM-R02","SITE-01","LINE-1","MIX-1","2026-09-03T02:30:00Z","2026-09-03T03:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0107","SIM-OX-02","SIM-R02","SITE-01","LINE-2","MIX-2","2026-09-03T02:30:00Z","2026-09-03T03:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0108","SIM-OX-02","SIM-R02","SITE-01","LINE-3","MIX-3","2026-09-03T02:30:00Z","2026-09-03T03:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0109","SIM-OX-02","SIM-R02","SITE-01","LINE-1","MIX-1","2026-09-03T04:00:00Z","2026-09-03T05:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0110","SIM-OX-02","SIM-R02","SITE-01","LINE-2","MIX-2","2026-09-03T04:00:00Z","2026-09-03T05:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0111","SIM-OX-02","SIM-R02","SITE-01","LINE-3","MIX-3","2026-09-03T04:00:00Z","2026-09-03T05:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0112","SIM-OX-02","SIM-R02","SITE-01","LINE-1","MIX-1","2026-09-03T05:30:00Z","2026-09-03T06:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0113","SIM-OX-02","SIM-R02","SITE-01","LINE-2","MIX-2","2026-09-03T05:30:00Z","2026-09-03T06:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0114","SIM-OX-02","SIM-R02","SITE-01","LINE-3","MIX-3","2026-09-03T05:30:00Z","2026-09-03T06:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0115","SIM-OX-02","SIM-R02","SITE-01","LINE-1","MIX-1","2026-09-03T07:00:00Z","2026-09-03T08:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0116","SIM-OX-02","SIM-R02","SITE-01","LINE-2","MIX-2","2026-09-03T07:00:00Z","2026-09-03T08:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0117","SIM-OX-02","SIM-R02","SITE-01","LINE-3","MIX-3","2026-09-03T07:00:00Z","2026-09-03T08:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0118","SIM-OX-02","SIM-R02","SITE-01","LINE-1","MIX-1","2026-09-03T08:30:00Z","2026-09-03T09:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0119","SIM-OX-02","SIM-R02","SITE-01","LINE-2","MIX-2","2026-09-03T08:30:00Z","2026-09-03T09:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0120","SIM-OX-02","SIM-R02","SITE-01","LINE-3","MIX-3","2026-09-03T08:30:00Z","2026-09-03T09:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0121","SIM-OX-02","SIM-R02","SITE-01","LINE-1","MIX-1","2026-09-03T10:00:00Z","2026-09-03T11:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0122","SIM-OX-02","SIM-R02","SITE-01","LINE-2","MIX-2","2026-09-03T10:00:00Z","2026-09-03T11:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0123","SIM-OX-02","SIM-R02","SITE-01","LINE-3","MIX-3","2026-09-03T10:00:00Z","2026-09-03T11:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0124","SIM-OX-02","SIM-R02","SITE-01","LINE-1","MIX-1","2026-09-03T11:30:00Z","2026-09-03T12:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0125","SIM-OX-02","SIM-R02","SITE-01","LINE-2","MIX-2","2026-09-03T11:30:00Z","2026-09-03T12:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0126","SIM-OX-02","SIM-R02","SITE-01","LINE-3","MIX-3","2026-09-03T11:30:00Z","2026-09-03T12:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0127","SIM-OX-02","SIM-R02","SITE-01","LINE-1","MIX-1","2026-09-03T13:00:00Z","2026-09-03T14:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0128","SIM-OX-02","SIM-R02","SITE-01","LINE-2","MIX-2","2026-09-03T13:00:00Z","2026-09-03T14:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0129","SIM-OX-02","SIM-R02","SITE-01","LINE-3","MIX-3","2026-09-03T13:00:00Z","2026-09-03T14:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0130","SIM-OX-02","SIM-R02","SITE-01","LINE-1","MIX-1","2026-09-03T14:30:00Z","2026-09-03T15:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0131","SIM-OX-02","SIM-R02","SITE-01","LINE-2","MIX-2","2026-09-03T14:30:00Z","2026-09-03T15:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0132","SIM-OX-02","SIM-R02","SITE-01","LINE-3","MIX-3","2026-09-03T14:30:00Z","2026-09-03T15:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0133","SIM-OX-02","SIM-R02","SITE-01","LINE-1","MIX-1","2026-09-03T16:00:00Z","2026-09-03T17:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0134","SIM-OX-02","SIM-R02","SITE-01","LINE-2","MIX-2","2026-09-03T16:00:00Z","2026-09-03T17:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0135","SIM-OX-02","SIM-R02","SITE-01","LINE-3","MIX-3","2026-09-03T16:00:00Z","2026-09-03T17:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0136","SIM-OX-02","SIM-R02","SITE-01","LINE-1","MIX-1","2026-09-03T17:30:00Z","2026-09-03T18:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0137","SIM-OX-02","SIM-R02","SITE-01","LINE-2","MIX-2","2026-09-03T17:30:00Z","2026-09-03T18:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0138","SIM-OX-02","SIM-R02","SITE-01","LINE-3","MIX-3","2026-09-03T17:30:00Z","2026-09-03T18:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0139","SIM-OX-02","SIM-R02","SITE-01","LINE-1","MIX-1","2026-09-03T19:00:00Z","2026-09-03T20:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0140","SIM-OX-02","SIM-R02","SITE-01","LINE-2","MIX-2","2026-09-03T19:00:00Z","2026-09-03T20:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0141","SIM-OX-02","SIM-R02","SITE-01","LINE-3","MIX-3","2026-09-03T19:00:00Z","2026-09-03T20:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0142","SIM-OX-02","SIM-R02","SITE-01","LINE-1","MIX-1","2026-09-03T20:30:00Z","2026-09-03T21:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0143","SIM-OX-02","SIM-R02","SITE-01","LINE-2","MIX-2","2026-09-03T20:30:00Z","2026-09-03T21:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0144","SIM-OX-02","SIM-R02","SITE-01","LINE-3","MIX-3","2026-09-03T20:30:00Z","2026-09-03T21:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0145","SIM-OX-02","SIM-R02","SITE-01","LINE-1","MIX-1","2026-09-03T22:00:00Z","2026-09-03T23:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0146","SIM-OX-02","SIM-R02","SITE-01","LINE-2","MIX-2","2026-09-03T22:00:00Z","2026-09-03T23:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0147","SIM-OX-02","SIM-R02","SITE-01","LINE-3","MIX-3","2026-09-03T22:00:00Z","2026-09-03T23:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0148","SIM-OX-02","SIM-R02","SITE-01","LINE-1","MIX-1","2026-09-03T23:30:00Z","2026-09-04T00:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0149","SIM-OX-02","SIM-R02","SITE-01","LINE-2","MIX-2","2026-09-03T23:30:00Z","2026-09-04T00:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0150","SIM-OX-02","SIM-R02","SITE-01","LINE-3","MIX-3","2026-09-03T23:30:00Z","2026-09-04T00:50:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0151","SIM-OX-02","SIM-R02","SITE-01","LINE-1","MIX-1","2026-09-04T01:00:00Z","2026-09-04T02:20:00Z","RELEASED","SYNTHETIC","true"
"SIM-S0152","SIM-OX-02","SIM-R02","SITE-01","LINE-2","MIX-2","2026-09-04T01:00:00Z","2026-09-04T02:20:00Z","RELEASED","SYNTHETIC","true"
