"Process_Record_ID","Batch_ID","Step_Run_ID","Step_ID","Equipment_ID","Parameter","Value","Unit","Event_TS","Step_Start_TS","Step_End_TS","Data_Origin","Target_Value","Upper_Limit","Target_Duration_min","Upper_Duration_min"
"SIM-S0008-P0","SIM-S0008","SIM-S0008-MIX","MIX","MIX-2","Temperature","23.8","C","2026-09-01T01:10:00Z","2026-09-01T01:10:00Z","2026-09-01T02:00:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0008-P1","SIM-S0008","SIM-S0008-MIX","MIX","MIX-2","Temperature","23.7027","C","2026-09-01T01:18:00Z","2026-09-01T01:10:00Z","2026-09-01T02:00:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0008-P2","SIM-S0008","SIM-S0008-MIX","MIX","MIX-2","Temperature","23.7473","C","2026-09-01T01:26:00Z","2026-09-01T01:10:00Z","2026-09-01T02:00:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0008-P3","SIM-S0008","SIM-S0008-MIX","MIX","MIX-2","Temperature","23.8683","C","2026-09-01T01:34:00Z","2026-09-01T01:10:00Z","2026-09-01T02:00:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0008-P4","SIM-S0008","SIM-S0008-MIX","MIX","MIX-2","Temperature","23.8562","C","2026-09-01T01:42:00Z","2026-09-01T01:10:00Z","2026-09-01T02:00:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0008-P5","SIM-S0008","SIM-S0008-MIX","MIX","MIX-2","Temperature","23.6216","C","2026-09-01T01:50:00Z","2026-09-01T01:10:00Z","2026-09-01T02:00:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0009-P0","SIM-S0009","SIM-S0009-MIX","MIX","MIX-3","Temperature","24.1826","C","2026-09-01T01:10:00Z","2026-09-01T01:10:00Z","2026-09-01T02:00:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0009-P1","SIM-S0009","SIM-S0009-MIX","MIX","MIX-3","Temperature","24.4531","C","2026-09-01T01:18:00Z","2026-09-01T01:10:00Z","2026-09-01T02:00:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0009-P2","SIM-S0009","SIM-S0009-MIX","MIX","MIX-3","Temperature","24.3284","C","2026-09-01T01:26:00Z","2026-09-01T01:10:00Z","2026-09-01T02:00:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0009-P3","SIM-S0009","SIM-S0009-MIX","MIX","MIX-3","Temperature","24.3991","C","2026-09-01T01:34:00Z","2026-09-01T01:10:00Z","2026-09-01T02:00:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0009-P4","SIM-S0009","SIM-S0009-MIX","MIX","MIX-3","Temperature","24.5324","C","2026-09-01T01:42:00Z","2026-09-01T01:10:00Z","2026-09-01T02:00:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0009-P5","SIM-S0009","SIM-S0009-MIX","MIX","MIX-3","Temperature","24.5613","C","2026-09-01T01:50:00Z","2026-09-01T01:10:00Z","2026-09-01T02:00:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0010-P0","SIM-S0010","SIM-S0010-MIX","MIX","MIX-1","Temperature","25.6453","C","2026-09-01T02:40:00Z","2026-09-01T02:40:00Z","2026-09-01T03:30:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0010-P1","SIM-S0010","SIM-S0010-MIX","MIX","MIX-1","Temperature","25.1799","C","2026-09-01T02:48:00Z","2026-09-01T02:40:00Z","2026-09-01T03:30:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0010-P2","SIM-S0010","SIM-S0010-MIX","MIX","MIX-1","Temperature","25.2807","C","2026-09-01T02:56:00Z","2026-09-01T02:40:00Z","2026-09-01T03:30:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0010-P3","SIM-S0010","SIM-S0010-MIX","MIX","MIX-1","Temperature","25.3826","C","2026-09-01T03:04:00Z","2026-09-01T02:40:00Z","2026-09-01T03:30:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0010-P4","SIM-S0010","SIM-S0010-MIX","MIX","MIX-1","Temperature","25.4647","C","2026-09-01T03:12:00Z","2026-09-01T02:40:00Z","2026-09-01T03:30:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0010-P5","SIM-S0010","SIM-S0010-MIX","MIX","MIX-1","Temperature","25.6037","C","2026-09-01T03:20:00Z","2026-09-01T02:40:00Z","2026-09-01T03:30:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0011-P0","SIM-S0011","SIM-S0011-MIX","MIX","MIX-2","Temperature","23.9462","C","2026-09-01T02:40:00Z","2026-09-01T02:40:00Z","2026-09-01T03:30:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0011-P1","SIM-S0011","SIM-S0011-MIX","MIX","MIX-2","Temperature","24.0925","C","2026-09-01T02:48:00Z","2026-09-01T02:40:00Z","2026-09-01T03:30:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0011-P2","SIM-S0011","SIM-S0011-MIX","MIX","MIX-2","Temperature","24.0966","C","2026-09-01T02:56:00Z","2026-09-01T02:40:00Z","2026-09-01T03:30:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0011-P3","SIM-S0011","SIM-S0011-MIX","MIX","MIX-2","Temperature","24.3331","C","2026-09-01T03:04:00Z","2026-09-01T02:40:00Z","2026-09-01T03:30:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0011-P4","SIM-S0011","SIM-S0011-MIX","MIX","MIX-2","Temperature","24.2231","C","2026-09-01T03:12:00Z","2026-09-01T02:40:00Z","2026-09-01T03:30:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0011-P5","SIM-S0011","SIM-S0011-MIX","MIX","MIX-2","Temperature","24.1934","C","2026-09-01T03:20:00Z","2026-09-01T02:40:00Z","2026-09-01T03:30:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0012-P0","SIM-S0012","SIM-S0012-MIX","MIX","MIX-3","Temperature","24.9113","C","2026-09-01T02:40:00Z","2026-09-01T02:40:00Z","2026-09-01T03:30:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0012-P1","SIM-S0012","SIM-S0012-MIX","MIX","MIX-3","Temperature","25.1938","C","2026-09-01T02:48:00Z","2026-09-01T02:40:00Z","2026-09-01T03:30:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0012-P2","SIM-S0012","SIM-S0012-MIX","MIX","MIX-3","Temperature","24.9386","C","2026-09-01T02:56:00Z","2026-09-01T02:40:00Z","2026-09-01T03:30:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0012-P3","SIM-S0012","SIM-S0012-MIX","MIX","MIX-3","Temperature","24.9044","C","2026-09-01T03:04:00Z","2026-09-01T02:40:00Z","2026-09-01T03:30:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0012-P4","SIM-S0012","SIM-S0012-MIX","MIX","MIX-3","Temperature","25.162","C","2026-09-01T03:12:00Z","2026-09-01T02:40:00Z","2026-09-01T03:30:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0012-P5","SIM-S0012","SIM-S0012-MIX","MIX","MIX-3","Temperature","25.1795","C","2026-09-01T03:20:00Z","2026-09-01T02:40:00Z","2026-09-01T03:30:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0013-P0","SIM-S0013","SIM-S0013-MIX","MIX","MIX-1","Temperature","25.0944","C","2026-09-01T04:10:00Z","2026-09-01T04:10:00Z","2026-09-01T05:00:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0013-P1","SIM-S0013","SIM-S0013-MIX","MIX","MIX-1","Temperature","24.7088","C","2026-09-01T04:18:00Z","2026-09-01T04:10:00Z","2026-09-01T05:00:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0013-P2","SIM-S0013","SIM-S0013-MIX","MIX","MIX-1","Temperature","24.7644","C","2026-09-01T04:26:00Z","2026-09-01T04:10:00Z","2026-09-01T05:00:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0013-P3","SIM-S0013","SIM-S0013-MIX","MIX","MIX-1","Temperature","25.1151","C","2026-09-01T04:34:00Z","2026-09-01T04:10:00Z","2026-09-01T05:00:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0013-P4","SIM-S0013","SIM-S0013-MIX","MIX","MIX-1","Temperature","24.8372","C","2026-09-01T04:42:00Z","2026-09-01T04:10:00Z","2026-09-01T05:00:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0013-P5","SIM-S0013","SIM-S0013-MIX","MIX","MIX-1","Temperature","25.1247","C","2026-09-01T04:50:00Z","2026-09-01T04:10:00Z","2026-09-01T05:00:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0014-P0","SIM-S0014","SIM-S0014-MIX","MIX","MIX-2","Temperature","25.5365","C","2026-09-01T04:10:00Z","2026-09-01T04:10:00Z","2026-09-01T05:00:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0014-P1","SIM-S0014","SIM-S0014-MIX","MIX","MIX-2","Temperature","25.814","C","2026-09-01T04:18:00Z","2026-09-01T04:10:00Z","2026-09-01T05:00:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0014-P2","SIM-S0014","SIM-S0014-MIX","MIX","MIX-2","Temperature","25.6657","C","2026-09-01T04:26:00Z","2026-09-01T04:10:00Z","2026-09-01T05:00:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0014-P3","SIM-S0014","SIM-S0014-MIX","MIX","MIX-2","Temperature","25.7035","C","2026-09-01T04:34:00Z","2026-09-01T04:10:00Z","2026-09-01T05:00:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0014-P4","SIM-S0014","SIM-S0014-MIX","MIX","MIX-2","Temperature","25.8003","C","2026-09-01T04:42:00Z","2026-09-01T04:10:00Z","2026-09-01T05:00:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0014-P5","SIM-S0014","SIM-S0014-MIX","MIX","MIX-2","Temperature","25.5145","C","2026-09-01T04:50:00Z","2026-09-01T04:10:00Z","2026-09-01T05:00:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0015-P0","SIM-S0015","SIM-S0015-MIX","MIX","MIX-3","Temperature","25.2761","C","2026-09-01T04:10:00Z","2026-09-01T04:10:00Z","2026-09-01T05:00:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0015-P1","SIM-S0015","SIM-S0015-MIX","MIX","MIX-3","Temperature","25.0479","C","2026-09-01T04:18:00Z","2026-09-01T04:10:00Z","2026-09-01T05:00:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0015-P2","SIM-S0015","SIM-S0015-MIX","MIX","MIX-3","Temperature","24.8616","C","2026-09-01T04:26:00Z","2026-09-01T04:10:00Z","2026-09-01T05:00:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0015-P3","SIM-S0015","SIM-S0015-MIX","MIX","MIX-3","Temperature","25.0053","C","2026-09-01T04:34:00Z","2026-09-01T04:10:00Z","2026-09-01T05:00:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0015-P4","SIM-S0015","SIM-S0015-MIX","MIX","MIX-3","Temperature","25.1188","C","2026-09-01T04:42:00Z","2026-09-01T04:10:00Z","2026-09-01T05:00:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0015-P5","SIM-S0015","SIM-S0015-MIX","MIX","MIX-3","Temperature","24.9836","C","2026-09-01T04:50:00Z","2026-09-01T04:10:00Z","2026-09-01T05:00:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0016-P0","SIM-S0016","SIM-S0016-MIX","MIX","MIX-1","Temperature","25.3793","C","2026-09-01T05:40:00Z","2026-09-01T05:40:00Z","2026-09-01T06:30:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0016-P1","SIM-S0016","SIM-S0016-MIX","MIX","MIX-1","Temperature","25.4377","C","2026-09-01T05:48:00Z","2026-09-01T05:40:00Z","2026-09-01T06:30:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0016-P2","SIM-S0016","SIM-S0016-MIX","MIX","MIX-1","Temperature","25.9218","C","2026-09-01T05:56:00Z","2026-09-01T05:40:00Z","2026-09-01T06:30:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0016-P3","SIM-S0016","SIM-S0016-MIX","MIX","MIX-1","Temperature","25.231","C","2026-09-01T06:04:00Z","2026-09-01T05:40:00Z","2026-09-01T06:30:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0016-P4","SIM-S0016","SIM-S0016-MIX","MIX","MIX-1","Temperature","25.3848","C","2026-09-01T06:12:00Z","2026-09-01T05:40:00Z","2026-09-01T06:30:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0016-P5","SIM-S0016","SIM-S0016-MIX","MIX","MIX-1","Temperature","25.3668","C","2026-09-01T06:20:00Z","2026-09-01T05:40:00Z","2026-09-01T06:30:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0017-P0","SIM-S0017","SIM-S0017-MIX","MIX","MIX-2","Temperature","24.5179","C","2026-09-01T05:40:00Z","2026-09-01T05:40:00Z","2026-09-01T06:30:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0017-P1","SIM-S0017","SIM-S0017-MIX","MIX","MIX-2","Temperature","24.4183","C","2026-09-01T05:48:00Z","2026-09-01T05:40:00Z","2026-09-01T06:30:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0017-P2","SIM-S0017","SIM-S0017-MIX","MIX","MIX-2","Temperature","24.5425","C","2026-09-01T05:56:00Z","2026-09-01T05:40:00Z","2026-09-01T06:30:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0017-P3","SIM-S0017","SIM-S0017-MIX","MIX","MIX-2","Temperature","24.6984","C","2026-09-01T06:04:00Z","2026-09-01T05:40:00Z","2026-09-01T06:30:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0017-P4","SIM-S0017","SIM-S0017-MIX","MIX","MIX-2","Temperature","24.449","C","2026-09-01T06:12:00Z","2026-09-01T05:40:00Z","2026-09-01T06:30:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0017-P5","SIM-S0017","SIM-S0017-MIX","MIX","MIX-2","Temperature","24.5226","C","2026-09-01T06:20:00Z","2026-09-01T05:40:00Z","2026-09-01T06:30:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0018-P0","SIM-S0018","SIM-S0018-MIX","MIX","MIX-3","Temperature","24.888","C","2026-09-01T05:40:00Z","2026-09-01T05:40:00Z","2026-09-01T06:30:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0018-P1","SIM-S0018","SIM-S0018-MIX","MIX","MIX-3","Temperature","24.9154","C","2026-09-01T05:48:00Z","2026-09-01T05:40:00Z","2026-09-01T06:30:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0018-P2","SIM-S0018","SIM-S0018-MIX","MIX","MIX-3","Temperature","24.8105","C","2026-09-01T05:56:00Z","2026-09-01T05:40:00Z","2026-09-01T06:30:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0018-P3","SIM-S0018","SIM-S0018-MIX","MIX","MIX-3","Temperature","25.1133","C","2026-09-01T06:04:00Z","2026-09-01T05:40:00Z","2026-09-01T06:30:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0018-P4","SIM-S0018","SIM-S0018-MIX","MIX","MIX-3","Temperature","24.922","C","2026-09-01T06:12:00Z","2026-09-01T05:40:00Z","2026-09-01T06:30:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0018-P5","SIM-S0018","SIM-S0018-MIX","MIX","MIX-3","Temperature","24.8041","C","2026-09-01T06:20:00Z","2026-09-01T05:40:00Z","2026-09-01T06:30:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0019-P0","SIM-S0019","SIM-S0019-MIX","MIX","MIX-1","Temperature","25.4553","C","2026-09-01T07:10:00Z","2026-09-01T07:10:00Z","2026-09-01T08:00:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0019-P1","SIM-S0019","SIM-S0019-MIX","MIX","MIX-1","Temperature","25.5602","C","2026-09-01T07:18:00Z","2026-09-01T07:10:00Z","2026-09-01T08:00:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0019-P2","SIM-S0019","SIM-S0019-MIX","MIX","MIX-1","Temperature","25.5575","C","2026-09-01T07:26:00Z","2026-09-01T07:10:00Z","2026-09-01T08:00:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0019-P3","SIM-S0019","SIM-S0019-MIX","MIX","MIX-1","Temperature","25.4999","C","2026-09-01T07:34:00Z","2026-09-01T07:10:00Z","2026-09-01T08:00:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0019-P4","SIM-S0019","SIM-S0019-MIX","MIX","MIX-1","Temperature","25.1723","C","2026-09-01T07:42:00Z","2026-09-01T07:10:00Z","2026-09-01T08:00:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0019-P5","SIM-S0019","SIM-S0019-MIX","MIX","MIX-1","Temperature","25.3592","C","2026-09-01T07:50:00Z","2026-09-01T07:10:00Z","2026-09-01T08:00:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0020-P0","SIM-S0020","SIM-S0020-MIX","MIX","MIX-2","Temperature","24.1282","C","2026-09-01T07:10:00Z","2026-09-01T07:10:00Z","2026-09-01T08:00:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0020-P1","SIM-S0020","SIM-S0020-MIX","MIX","MIX-2","Temperature","24.0739","C","2026-09-01T07:18:00Z","2026-09-01T07:10:00Z","2026-09-01T08:00:00Z","SYNTHETIC","25","30","50","60"
"SIM-S0020-P2","SIM-S0020","SIM-S0020-MIX","MIX","MIX-2","Temperature","24.3368","C","2026-09-01T07:26:00Z","2026-09-01T07:10:00Z","2026-09-01T08:00:00Z","SYNTHETIC","25","30","50","60"
